periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",66212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(0.71, 1.0]",132425,1.1227371715754948e-10,1.1227371715754948e-10,3.7117690892285906e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.1227371715754948e-10,1.1227371715754948e-10,3.7117690892285906e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(0.78, 1.56]","(1.0, 1.41]",264849,0.0005210453582867114,0.0005210453582867114,0.00019455805694825924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0005210453582867114,0.0005210453582867114,0.00019455805694825924,200.0,0.0004790641205248109,0.0004790641205248109,0.00018026225360161723,0.000690959754426107,0.000690959754426107,0.0002437422833388085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000690959754426107,0.000690959754426107,0.0002437422833388085,0.0006796325453371544,0.0006796325453371544,0.00023963843548588092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
"(0.78, 1.56]","(1.41, 2.0]",198638,0.003754837225715728,0.003754837225715728,0.0012328147255372922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5970.0,0.003754837225715728,0.003754837225715728,0.0012328147255372922,300.0,0.0002519292687484394,0.0002519292687484394,7.632762333398683e-05,0.006252580070278597,0.006252580070278597,0.0020127045177659873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006252580070278597,0.006252580070278597,0.0020127045177659873,0.000941411008971093,0.000941411008971093,0.0002840654859593836,0.0005034283470433653,0.0005034283470433653,0.00019105105770295724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005034283470433653,0.0005034283470433653,0.00019105105770295724,0.0,0.0,0.0,6000
"(0.78, 1.56]","(2.0, 2.83]",132425,0.019175747926058338,0.019175747926058338,0.006191495690270465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14690.0,0.019175747926058338,0.019175747926058338,0.006191495690270465,900.0,0.0037134567766697367,0.0037134567766697367,0.0011755502419128724,0.027834623371719838,0.027834623371719838,0.008916974891447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027834623371719838,0.027834623371719838,0.008916974891447991,0.004281668869171229,0.004281668869171229,0.0013591806683028117,0.0019558240513498208,0.0019558240513498208,0.0006268597319237302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019558240513498208,0.0019558240513498208,0.0006268597319237302,0.0013894657353218803,0.0013894657353218803,0.00042651463092316366,14800
"(0.78, 1.56]","(2.83, 4.0]",66212,0.0894983036847835,0.0894983036847835,0.030000227701732943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23140.0,0.0894983036847835,0.0894983036847835,0.030000227701732943,1900.0,0.023345726084434415,0.023345726084434415,0.007570370467897443,0.1300821603334743,0.1300821603334743,0.043740707122575974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1300821603334743,0.1300821603334743,0.043740707122575974,0.026581284359330635,0.026581284359330635,0.008598698121186493,0.02014740530417447,0.02014740530417447,0.006105595662417691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02014740530417447,0.02014740530417447,0.006105595662417691,0.0117350329245454,0.0117350329245454,0.0033952229203165598,23300
"(0.78, 1.56]","(4.0, 5.66]",41634,0.27174452781678404,0.27174452781678404,0.09662011366445152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29750.0,0.27174452781678404,0.27174452781678404,0.09662011366445152,3100.0,0.062108352642465545,0.062108352642465545,0.022285607836314503,0.36369313541816783,0.36369313541816783,0.1293518470480857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36369313541816783,0.36369313541816783,0.1293518470480857,0.06917423259835712,0.06917423259835712,0.024807417014939704,0.09720420809914973,0.09720420809914973,0.03423220925205359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09720420809914973,0.09720420809914973,0.03423220925205359,0.05505116010952587,0.05505116010952587,0.019636859297689387,29900
"(0.78, 1.56]","(5.66, 8.0]",50528,0.5020169309468713,0.5020169309468713,0.17760457068769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43730.0,0.5020169309468713,0.5020169309468713,0.17760457068769,8300.0,0.13428012567882075,0.13428012567882075,0.04637427177960359,0.627691576947435,0.627691576947435,0.222841630383154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.627691576947435,0.627691576947435,0.222841630383154,0.15292511082963897,0.15292511082963897,0.05272775886637114,0.23319743508549712,0.23319743508549712,0.07976395463901201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23319743508549712,0.23319743508549712,0.07976395463901201,0.13257995566814434,0.13257995566814434,0.045688481633945545,43900
"(0.78, 1.56]","(8.0, 11.31]",59563,0.6889597534263737,0.6889597534263737,0.25269702249432374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55590.0,0.6889597534263737,0.6889597534263737,0.25269702249432374,18800.0,0.2700022786268544,0.2700022786268544,0.0931173337876719,0.8228430401423703,0.8228430401423703,0.3031506253882445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8228430401423703,0.8228430401423703,0.3031506253882445,0.30562597585749557,0.30562597585749557,0.10545368097644511,0.46134345147155126,0.46134345147155126,0.16398569078118963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46134345147155126,0.46134345147155126,0.16398569078118963,0.26911001796417244,0.26911001796417244,0.09247153266289478,55700
"(0.78, 1.56]","(11.31, 16.0]",136951,0.8064747125169123,0.8064747125169123,0.30897386859136383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132570.0,0.8064747125169123,0.8064747125169123,0.30897386859136383,76900.0,0.4952837301723282,0.4952837301723282,0.17901087284297443,0.9240093172010427,0.9240093172010427,0.3555870303977335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9240093172010427,0.9240093172010427,0.3555870303977335,0.5562062343465912,0.5562062343465912,0.20104696424268534,0.718461347489248,0.718461347489248,0.2658192222035617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718461347489248,0.718461347489248,0.2658192222035617,0.5124971705208432,0.5124971705208432,0.18328568100999626,132700
"(1.56, 3.13]","(0.5, 0.71]",198638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(1.56, 3.13]","(0.71, 1.0]",529699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(1.56, 3.13]","(1.0, 1.41]",1655308,0.00027988317230841464,0.00027988317230841464,5.533588259567317e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4390.0,0.00027988317230841464,0.00027988317230841464,5.533588259567317e-05,900.0,6.925374442194815e-05,6.925374442194815e-05,1.2897386432299293e-05,0.00047181551711222315,0.00047181551711222315,9.050080105937993e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047181551711222315,0.00047181551711222315,9.050080105937993e-05,0.00011357402972739816,0.00011357402972739816,2.1019109434618817e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400
"(1.56, 3.13]","(1.41, 2.0]",926972,0.0019251966820869363,0.0019251966820869363,0.00039364868221748137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20370.0,0.0019251966820869363,0.0019251966820869363,0.00039364868221748137,1000.0,0.0005223117382968066,0.0005223117382968066,0.00010933975568063766,0.002623595966221202,0.002623595966221202,0.000532328700327518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002623595966221202,0.002623595966221202,0.000532328700327518,0.0006753170538052928,0.0006753170538052928,0.00014221227825651704,6.580565540275222e-05,6.580565540275222e-05,1.1536162904596907e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.580565540275222e-05,6.580565540275222e-05,1.1536162904596907e-05,6.580565540275222e-05,6.580565540275222e-05,1.1536162904596907e-05,20400
"(1.56, 3.13]","(2.0, 2.83]",264849,0.009836377338014301,0.009836377338014301,0.0020442615871125226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27200.0,0.009836377338014301,0.009836377338014301,0.0020442615871125226,700.0,0.0018230218733026153,0.0018230218733026153,0.00038628046299347296,0.01561266986093963,0.01561266986093963,0.0032089190444366407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01561266986093963,0.01561266986093963,0.0032089190444366407,0.002231460190523657,0.002231460190523657,0.00046582618775226645,0.0011402723816212256,0.0011402723816212256,0.0002799587689589163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011402723816212256,0.0011402723816212256,0.0002799587689589163,0.0005210516180918183,0.0005210516180918183,0.0001258619062182603,27200
"(1.56, 3.13]","(2.83, 4.0]",198638,0.05073329008362591,0.05073329008362591,0.010660212561481355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69480.0,0.05073329008362591,0.05073329008362591,0.010660212561481355,3700.0,0.012951859074408887,0.012951859074408887,0.0027866640617695243,0.07591196045066907,0.07591196045066907,0.01615358088583252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07591196045066907,0.07591196045066907,0.01615358088583252,0.016195289924385063,0.016195289924385063,0.0034811244575559544,0.00870931040385022,0.00870931040385022,0.0018329906664384444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00870931040385022,0.00870931040385022,0.0018329906664384444,0.005598123219122222,0.005598123219122222,0.001232896021909201,69500
"(1.56, 3.13]","(4.0, 5.66]",124147,0.18561521984239518,0.18561521984239518,0.04035837331100172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85700.0,0.18561521984239518,0.18561521984239518,0.04035837331100172,4400.0,0.026950262950116786,0.026950262950116786,0.005895767195178668,0.2643720750400735,0.2643720750400735,0.057569482951662136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2643720750400735,0.2643720750400735,0.057569482951662136,0.030898853778182318,0.030898853778182318,0.006752350036650098,0.05270364970559095,0.05270364970559095,0.011626043319613037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05270364970559095,0.05270364970559095,0.011626043319613037,0.02189340056545869,0.02189340056545869,0.004785139391205584,85700
"(1.56, 3.13]","(5.66, 8.0]",149014,0.4084276103568918,0.4084276103568918,0.09093190606132125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133260.0,0.4084276103568918,0.4084276103568918,0.09093190606132125,13500.0,0.07351987778497965,0.07351987778497965,0.015818577268653315,0.5337887715248232,0.5337887715248232,0.11962825439220476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337887715248232,0.5337887715248232,0.11962825439220476,0.08422698538392366,0.08422698538392366,0.018113001462949797,0.1635886560994269,0.1635886560994269,0.035009195780262264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635886560994269,0.1635886560994269,0.035009195780262264,0.06629578428872455,0.06629578428872455,0.014163033674688285,133300
"(1.56, 3.13]","(8.0, 11.31]",177184,0.6415735013098417,0.6415735013098417,0.14852580312324337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170290.0,0.6415735013098417,0.6415735013098417,0.14852580312324337,37900.0,0.18471716963928578,0.18471716963928578,0.04082977325454323,0.7818990428029619,0.7818990428029619,0.18189616613238208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818990428029619,0.7818990428029619,0.18189616613238208,0.21004718258985014,0.21004718258985014,0.046439683041358114,0.39023839624345313,0.39023839624345313,0.08701439351182952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39023839624345313,0.39023839624345313,0.08701439351182952,0.189418909156583,0.189418909156583,0.041711463789055436,170300
"(1.56, 3.13]","(11.31, 16.0]",403511,0.7632062156693343,0.7632062156693343,0.18287035245082045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391200.0,0.7632062156693343,0.7632062156693343,0.18287035245082045,173200.0,0.36987428112007104,0.36987428112007104,0.08338672291049219,0.8919062925174283,0.8919062925174283,0.2145791358847714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8919062925174283,0.8919062925174283,0.2145791358847714,0.42142841211268095,0.42142841211268095,0.09507578678152519,0.6656101072833208,0.6656101072833208,0.15459107310581371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656101072833208,0.6656101072833208,0.15459107310581371,0.39268074476284415,0.39268074476284415,0.08779582068394666,391200
"(3.13, 6.25]","(0.5, 0.71]",728335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(3.13, 6.25]","(0.71, 1.0]",1787730,2.2800166285155816e-09,2.2800166285155816e-09,2.9005938920689566e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,2.2800166285155816e-09,2.2800166285155816e-09,2.9005938920689566e-10,100.0,2.063702985675268e-11,2.063702985675268e-11,2.666304257492446e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
"(3.13, 6.25]","(1.0, 1.41]",5694257,9.234943292593553e-05,9.234943292593553e-05,1.2708354617169687e-05,0.0,0.0,0.0,0.0,114.0,1.7999774345895657e-12,1.7999774345895657e-12,1.8035230608910928e-13,914.0,4.009685134167747e-09,4.009685134167747e-09,4.598151041926504e-10,11772.0,9.23454214408239e-05,9.23454214408239e-05,1.2707894621713189e-05,700.0,3.097109964863251e-05,3.097109964863251e-05,4.316879812388765e-06,0.00015155620829899316,0.00015155620829899316,2.0473715886023396e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015155620829899316,0.00015155620829899316,2.0473715886023396e-05,5.0226043538252664e-05,5.0226043538252664e-05,6.792001133773898e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800
"(3.13, 6.25]","(1.41, 2.0]",3575463,0.0011012940473263146,0.0011012940473263146,0.00015321626412925345,0.0,0.0,0.0,0.0,891.0,6.433080097705075e-09,6.433080097705075e-09,6.999084351255304e-10,6458.0,2.4543482136431867e-06,2.4543482136431867e-06,5.014346981407992e-07,70351.0,0.0010988332660325736,0.0010988332660325736,0.00015271412952267747,2500.0,0.00031952151933394116,0.00031952151933394116,4.81295385529749e-05,0.001815988586652973,0.001815988586652973,0.0002502026730524132,0.0,0.0,0.0,0.0,0.0,0.0,4.4749449232169376e-06,4.4749449232169376e-06,9.527157741528858e-07,0.0018115136417297562,0.0018115136417297562,0.0002492499572782603,0.00048217531547662496,0.00048217531547662496,7.251063708392447e-05,2.3213776789187863e-05,2.3213776789187863e-05,2.9645391380081417e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3213776789187863e-05,2.3213776789187863e-05,2.9645391380081417e-06,8.39052173103176e-07,8.39052173103176e-07,1.1176174945734302e-07,77700
"(3.13, 6.25]","(2.0, 2.83]",2648491,0.007229261851530745,0.007229261851530745,0.0009485917858666821,2.0,3.4797939806057045e-21,3.4797939806057045e-21,3.5716188104608596e-22,2522.0,5.9515373328798114e-06,5.9515373328798114e-06,6.859287689878948e-07,23736.0,3.8500145613401044e-05,3.8500145613401044e-05,4.3709112333923325e-06,256640.0,0.007184810168584466,0.007184810168584466,0.0009435349458643021,5000.0,0.0011088720130581046,0.0011088720130581046,0.000142244058945818,0.01183730660213684,0.01183730660213684,0.0015496218035099985,0.0,0.0,0.0,1.850110119309449e-05,1.850110119309449e-05,2.101158735294928e-06,0.00010458785776504432,0.00010458785776504432,1.1799511495413802e-05,0.0117142176431787,0.0117142176431787,0.0015357211332792894,0.001518600591808694,0.001518600591808694,0.00019473167928454367,0.0006985109634127509,0.0006985109634127509,9.025041051678109e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006985109634127509,0.0006985109634127509,9.025041051678109e-05,0.000279781958858837,0.000279781958858837,3.542545547634486e-05,282900
"(3.13, 6.25]","(2.83, 4.0]",1258034,0.0340982192780349,0.0340982192780349,0.004476284472395198,9.0,6.251671633131612e-14,6.251671633131612e-14,6.1361504095245536e-15,4264.0,7.033798454166518e-05,7.033798454166518e-05,7.913639606856575e-06,42839.0,0.001387782112501198,0.001387782112501198,0.00014967519832371332,383288.0,0.03264009918092951,0.03264009918092951,0.004318695634458489,13800.0,0.006138101787433653,0.006138101787433653,0.0007985658239952223,0.05435544667314239,0.05435544667314239,0.007142928648987229,0.0,0.0,0.0,0.00017090158135630676,0.00017090158135630676,1.9423560889451323e-05,0.002762246489363563,0.002762246489363563,0.00030059569137241116,0.05142229860242251,0.05142229860242251,0.006822909396725367,0.00829389348777537,0.00829389348777537,0.0010731374509750928,0.003843298352826713,0.003843298352826713,0.0005001133514674482,0.0,0.0,0.0,0.0,0.0,0.0,6.0411721781764234e-05,6.0411721781764234e-05,6.154682623840053e-06,0.0037828866310449494,0.0037828866310449494,0.0004939586688436083,0.001866404246626085,0.001866404246626085,0.00024364269964086813,430400
