periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",379244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(0.71, 1.0]",758487,9.517798397331506e-06,9.517798397331506e-06,1.9540723780564116e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,9.517798397331506e-06,9.517798397331506e-06,1.9540723780564116e-06,300.0,3.465907964829284e-06,3.465907964829284e-06,7.921159760396824e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600
"(0.78, 1.56]","(1.0, 1.41]",1516974,0.0006603679193639743,0.0006603679193639743,0.00015119459658894085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7690.0,0.0006603679193639743,0.0006603679193639743,0.00015119459658894085,900.0,0.00013479899429060432,0.00013479899429060432,2.9947552830772483e-05,0.0010606641906848765,0.0010606641906848765,0.0002386607812658623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010606641906848765,0.0010606641906848765,0.0002386607812658623,0.00023665534148904332,0.00023665534148904332,5.213431476083308e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7700
"(0.78, 1.56]","(1.41, 2.0]",1137732,0.00820925318916417,0.00820925318916417,0.0020804080455771963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53850.0,0.00820925318916417,0.00820925318916417,0.0020804080455771963,800.0,0.0005225816025813516,0.0005225816025813516,0.00014563193563879438,0.012505581279246782,0.012505581279246782,0.0031943419012561832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012505581279246782,0.012505581279246782,0.0031943419012561832,0.0005976802972932113,0.0005976802972932113,0.0001656725837016098,0.0008490575988018268,0.0008490575988018268,0.0002016064415872983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008490575988018268,0.0008490575988018268,0.0002016064415872983,0.00010635193525364498,0.00010635193525364498,3.3807610228067746e-05,53900
"(0.78, 1.56]","(2.0, 2.83]",758487,0.04021102713410434,0.04021102713410434,0.010701216578378843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151560.0,0.04021102713410434,0.04021102713410434,0.010701216578378843,2300.0,0.002458880584186527,0.002458880584186527,0.0007231407685097417,0.059382692122607245,0.059382692122607245,0.015759276559782823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059382692122607245,0.059382692122607245,0.015759276559782823,0.002781853874885133,0.002781853874885133,0.0008196884059977296,0.004814848507621093,0.004814848507621093,0.0013191221471165623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004814848507621093,0.004814848507621093,0.0013191221471165623,0.0011997568844291334,0.0011997568844291334,0.00033357565785570493,151800
"(0.78, 1.56]","(2.83, 4.0]",379244,0.1607326291979008,0.1607326291979008,0.04422532674298954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217320.0,0.1607326291979008,0.1607326291979008,0.04422532674298954,8800.0,0.019139407560263947,0.019139407560263947,0.005164876494998665,0.22534305091181403,0.22534305091181403,0.06222748441636518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22534305091181403,0.22534305091181403,0.06222748441636518,0.0215665903745346,0.0215665903745346,0.005814683686492075,0.035800170866249696,0.035800170866249696,0.009498339327715138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035800170866249696,0.035800170866249696,0.009498339327715138,0.014853234329349967,0.014853234329349967,0.003964469839997472,217600
"(0.78, 1.56]","(4.0, 5.66]",237949,0.43788226908100986,0.43788226908100986,0.12637433516953436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210590.0,0.43788226908100986,0.43788226908100986,0.12637433516953436,10600.0,0.039655977740824834,0.039655977740824834,0.01065636604517307,0.5690925366360019,0.5690925366360019,0.1652122543065952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5690925366360019,0.5690925366360019,0.1652122543065952,0.04429520611559621,0.04429520611559621,0.011900502628714558,0.15087266599145194,0.15087266599145194,0.041902955255117696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15087266599145194,0.15087266599145194,0.041902955255117696,0.04022710748942,0.04022710748942,0.010668347418984741,210700
"(0.78, 1.56]","(5.66, 8.0]",286248,0.6765219157244551,0.6765219157244551,0.2039531174859107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269210.0,0.6765219157244551,0.6765219157244551,0.2039531174859107,32400.0,0.09957873928509603,0.09957873928509603,0.02897211721831708,0.8107165814258964,0.8107165814258964,0.2458195774293619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8107165814258964,0.8107165814258964,0.2458195774293619,0.11135798328721948,0.11135798328721948,0.03241164409882339,0.39301584639892684,0.39301584639892684,0.11433917547022161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39301584639892684,0.39301584639892684,0.11433917547022161,0.10630991308236215,0.10630991308236215,0.03072585135966016,269400
"(0.78, 1.56]","(8.0, 11.31]",337530,0.8224675095128621,0.8224675095128621,0.25637652901991126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325600.0,0.8224675095128621,0.8224675095128621,0.25637652901991126,98300.0,0.2604180710865848,0.2604180710865848,0.07613782014612211,0.9355138802476817,0.9355138802476817,0.29246248126092506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9355138802476817,0.9355138802476817,0.29246248126092506,0.2901253221935828,0.2901253221935828,0.0847458282226765,0.715850442923592,0.715850442923592,0.21658832903741893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715850442923592,0.715850442923592,0.21658832903741893,0.2848991200782153,0.2848991200782153,0.08292236156786066,325700
"(0.78, 1.56]","(11.31, 16.0]",768917,0.8619650266548619,0.8619650266548619,0.27623040835860724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748670.0,0.8619650266548619,0.8619650266548619,0.27623040835860724,434300.0,0.5058522894760042,0.5058522894760042,0.15317153544700643,0.9644174858924955,0.9644174858924955,0.3092913601858198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9644174858924955,0.9644174858924955,0.3092913601858198,0.5633924077631266,0.5633924077631266,0.1705360344484515,0.9042172302082019,0.9042172302082019,0.2860991499732741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9042172302082019,0.9042172302082019,0.2860991499732741,0.5582644160553089,0.5582644160553089,0.16867667225461264,748800
