periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",335426,4.75375154910064e-09,4.75375154910064e-09,1.0187289569722673e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,4.75375154910064e-09,4.75375154910064e-09,1.0187289569722673e-09,100.0,4.75375154910064e-09,4.75375154910064e-09,1.0187289569722673e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(0.78, 1.56]","(0.71, 1.0]",1565326,0.00011748831599798538,0.00011748831599798538,2.2204198921657144e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,0.00011748831599798538,0.00011748831599798538,2.2204198921657144e-05,2800.0,9.713680363075436e-05,9.713680363075436e-05,1.8321865896939995e-05,0.0002427609328663805,0.0002427609328663805,4.577212670076391e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002427609328663805,0.0002427609328663805,4.577212670076391e-05,0.0001916533680524057,0.0001916533680524057,3.593392047407373e-05,5.110756481397483e-06,5.110756481397483e-06,9.076703510961935e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.110756481397483e-06,5.110756481397483e-06,9.076703510961935e-07,5.110756481397483e-06,5.110756481397483e-06,9.076703510961935e-07,4300
"(0.78, 1.56]","(1.0, 1.41]",2571611,0.002371414777875214,0.002371414777875214,0.0005297440821226005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40690.0,0.002371414777875214,0.002371414777875214,0.0005297440821226005,2800.0,0.00045574549699468333,0.00045574549699468333,0.00010425778336417958,0.003537471258289064,0.003537471258289064,0.0007960363367554426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003537471258289064,0.003537471258289064,0.0007960363367554426,0.0005770701711884106,0.0005770701711884106,0.00013225149526891903,0.00011043660958053141,0.00011043660958053141,2.4232514171077982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011043660958053141,0.00011043660958053141,2.4232514171077982e-05,5.9106917803664706e-05,5.9106917803664706e-05,1.2814768641135842e-05,40700
"(0.78, 1.56]","(1.41, 2.0]",1453517,0.01547041933982854,0.01547041933982854,0.00345915270042956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120590.0,0.01547041933982854,0.01547041933982854,0.00345915270042956,2500.0,0.001257863791293598,0.001257863791293598,0.000270325247705577,0.022815694622078723,0.022815694622078723,0.005117362576426695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022815694622078723,0.022815694622078723,0.005117362576426695,0.0015720490369221687,0.0015720490369221687,0.0003424347290055776,0.0018293559690048344,0.0018293559690048344,0.0004022512980584334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018293559690048344,0.0018293559690048344,0.0004022512980584334,0.0005318135254008036,0.0005318135254008036,0.00010524500229443476,120600
"(0.78, 1.56]","(2.0, 2.83]",419287,0.07648831858300795,0.07648831858300795,0.01785084994811367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139930.0,0.07648831858300795,0.07648831858300795,0.01785084994811367,2200.0,0.004467518480289258,0.004467518480289258,0.0010034293515857537,0.10870596989651478,0.10870596989651478,0.02534824165786203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10870596989651478,0.10870596989651478,0.02534824165786203,0.005008502529293777,0.005008502529293777,0.0011247665680071159,0.014069122104906663,0.014069122104906663,0.0033129143045217235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014069122104906663,0.014069122104906663,0.0033129143045217235,0.003966257002959785,0.003966257002959785,0.0008954305761924405,140000
"(0.78, 1.56]","(2.83, 4.0]",223620,0.24335315528664908,0.24335315528664908,0.05825080084459214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161060.0,0.24335315528664908,0.24335315528664908,0.05825080084459214,5500.0,0.02079725467566968,0.02079725467566968,0.00471109676428024,0.34253197388426804,0.34253197388426804,0.08195159556390304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34253197388426804,0.34253197388426804,0.08195159556390304,0.023624899382881676,0.023624899382881676,0.0053432099096681895,0.056461854932474735,0.056461854932474735,0.013213810482067805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056461854932474735,0.056461854932474735,0.013213810482067805,0.01906806189070745,0.01906806189070745,0.004330671227976033,161100
"(0.78, 1.56]","(4.0, 5.66]",223954,0.5106533664082371,0.5106533664082371,0.12770976024223404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196350.0,0.5106533664082371,0.5106533664082371,0.12770976024223404,12000.0,0.047813521563236754,0.047813521563236754,0.01090480775967313,0.6406896059012118,0.6406896059012118,0.1611594639970708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6406896059012118,0.6406896059012118,0.1611594639970708,0.053439545620975734,0.053439545620975734,0.012182844691320539,0.2153343990283719,0.2153343990283719,0.05149984327138609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153343990283719,0.2153343990283719,0.05149984327138609,0.05179635103637354,0.05179635103637354,0.011790620395259742,196400
"(0.78, 1.56]","(5.66, 8.0]",114202,0.7287977194536683,0.7287977194536683,0.19226771523552308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105400.0,0.7287977194536683,0.7287977194536683,0.19226771523552308,15700.0,0.12256448269367737,0.12256448269367737,0.029753258446482616,0.8555279242044798,0.8555279242044798,0.2273417374476804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8555279242044798,0.8555279242044798,0.2273417374476804,0.1370378802472811,0.1370378802472811,0.03329665855238963,0.49218927864660855,0.49218927864660855,0.12464068229978456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49218927864660855,0.49218927864660855,0.12464068229978456,0.13480499465858742,0.13480499465858742,0.0326452934274356,105400
"(0.78, 1.56]","(8.0, 11.31]",119199,0.8490704235739946,0.8490704235739946,0.2332776096377168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115180.0,0.8490704235739946,0.8490704235739946,0.2332776096377168,43500.0,0.3276009027729757,0.3276009027729757,0.08202965880187596,0.9550835158013069,0.9550835158013069,0.26282167048381283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9550835158013069,0.9550835158013069,0.26282167048381283,0.36493594744922353,0.36493594744922353,0.09129044706750894,0.8153340212585676,0.8153340212585676,0.21836001308735808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8153340212585676,0.8153340212585676,0.21836001308735808,0.36265404911115023,0.36265404911115023,0.09074155571774929,115200
"(0.78, 1.56]","(11.31, 16.0]",227681,0.8487898353775926,0.8487898353775926,0.24018906197638606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216280.0,0.8487898353775926,0.8487898353775926,0.24018906197638606,142500.0,0.5612946356181007,0.5612946356181007,0.1478035634565497,0.9475098932278055,0.9475098932278055,0.268180587752162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9475098932278055,0.9475098932278055,0.268180587752162,0.6253969369424766,0.6253969369424766,0.16459136686855727,0.9151444345377963,0.9151444345377963,0.256538191592623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9151444345377963,0.9151444345377963,0.256538191592623,0.6239519327480114,0.6239519327480114,0.16414391275512663,216300
