periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",289523,3.1423473406258605e-05,3.1423473406258605e-05,5.18283026635747e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,3.1423473406258605e-05,3.1423473406258605e-05,5.18283026635747e-06,200.0,3.1423473406258605e-05,3.1423473406258605e-05,5.18283026635747e-06,0.0001347043240088007,0.0001347043240088007,2.2212743029051237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001347043240088007,0.0001347043240088007,2.2212743029051237e-05,0.0001347043240088007,0.0001347043240088007,2.2212743029051237e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
"(0.78, 1.56]","(0.71, 1.0]",868567,0.0007739545395130488,0.0007739545395130488,0.0001342169270461096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.0007739545395130488,0.0007739545395130488,0.0001342169270461096,1300.0,0.0002639465206072574,0.0002639465206072574,4.0202094431372876e-05,0.00112368993986647,0.00112368993986647,0.00020280070506938428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112368993986647,0.00112368993986647,0.00020280070506938428,0.00041562711915142984,0.00041562711915142984,6.648617780781448e-05,5.756608298496259e-05,5.756608298496259e-05,6.884903525001531e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.756608298496259e-05,5.756608298496259e-05,6.884903525001531e-06,5.756608298496259e-05,5.756608298496259e-05,6.884903525001531e-06,6000
"(0.78, 1.56]","(1.0, 1.41]",1766087,0.00830867097498955,0.00830867097498955,0.001610289821443995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91800.0,0.00830867097498955,0.00830867097498955,0.001610289821443995,2700.0,0.0009739553250820979,0.0009739553250820979,0.00019032052806098167,0.012799482698190975,0.012799482698190975,0.0024855490697796886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012799482698190975,0.012799482698190975,0.0024855490697796886,0.0012728704758032871,0.0012728704758032871,0.0002471155158267966,0.0006454948142418807,0.0006454948142418807,0.00012358371926184835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006454948142418807,0.0006454948142418807,0.00012358371926184835,0.0003329394305037067,0.0003329394305037067,6.407056956990226e-05,91800
"(0.78, 1.56]","(1.41, 2.0]",1158090,0.0493958616615574,0.0493958616615574,0.009505432171275691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295100.0,0.0493958616615574,0.0493958616615574,0.009505432171275691,3400.0,0.0025475073163460115,0.0025475073163460115,0.00047720849250976855,0.07308585688504347,0.07308585688504347,0.014044779853033875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07308585688504347,0.07308585688504347,0.014044779853033875,0.002911690801233065,0.002911690801233065,0.0005462319854242762,0.005761210268631972,0.005761210268631972,0.0011075424189829805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005761210268631972,0.005761210268631972,0.0011075424189829805,0.0016017753369772646,0.0016017753369772646,0.00029706231812726125,295100
"(0.78, 1.56]","(2.0, 2.83]",501837,0.19375325222167894,0.19375325222167894,0.037916281761756716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332880.0,0.19375325222167894,0.19375325222167894,0.037916281761756716,6500.0,0.011298159804115603,0.011298159804115603,0.0022139984315375063,0.2701813537064823,0.2701813537064823,0.05273652640199906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2701813537064823,0.2701813537064823,0.05273652640199906,0.012713291367515747,0.012713291367515747,0.0024964719620115695,0.040800100431016444,0.040800100431016444,0.007916752451493212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040800100431016444,0.040800100431016444,0.007916752451493212,0.009931511626285028,0.009931511626285028,0.001884775136149786,332900
"(0.78, 1.56]","(2.83, 4.0]",424632,0.4757771792601091,0.4757771792601091,0.09550621076521587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380860.0,0.4757771792601091,0.4757771792601091,0.09550621076521587,27700.0,0.05768010141792758,0.05768010141792758,0.011641337429516495,0.6212791311064639,0.6212791311064639,0.1250188457299497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6212791311064639,0.6212791311064639,0.1250188457299497,0.06439458166129731,0.06439458166129731,0.012998575943405118,0.16177066259726064,0.16177066259726064,0.03225741253603119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16177066259726064,0.16177066259726064,0.03225741253603119,0.056309934248949686,0.056309934248949686,0.011352570932007013,380900
"(0.78, 1.56]","(4.0, 5.66]",348153,0.724083672510276,0.724083672510276,0.14902281283042915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323060.0,0.724083672510276,0.724083672510276,0.14902281283042915,40500.0,0.10391760519296159,0.10391760519296159,0.021074977012602157,0.8542422440708539,0.8542422440708539,0.1763974103339624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8542422440708539,0.8542422440708539,0.1763974103339624,0.1160122130212866,0.1160122130212866,0.023501075676498548,0.4479898205673942,0.4479898205673942,0.09057978159027781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4479898205673942,0.4479898205673942,0.09057978159027781,0.1129876807035987,0.1129876807035987,0.022929753298118933,323200
"(0.78, 1.56]","(5.66, 8.0]",271669,0.8133046497460722,0.8133046497460722,0.17374815477794325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253620.0,0.8133046497460722,0.8133046497460722,0.17374815477794325,94000.0,0.3101576122538971,0.3101576122538971,0.06379630344308512,0.9182497819037138,0.9182497819037138,0.19695765656000494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9182497819037138,0.9182497819037138,0.19695765656000494,0.3455160507823859,0.3455160507823859,0.07102622087908449,0.7665173427958287,0.7665173427958287,0.15960358487718515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665173427958287,0.7665173427958287,0.15960358487718515,0.34186822935263134,0.34186822935263134,0.07025846968185552,253700
"(0.78, 1.56]","(8.0, 11.31]",194008,0.8187773151161165,0.8187773151161165,0.18343139660215946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181200.0,0.8187773151161165,0.8187773151161165,0.18343139660215946,131400.0,0.6062085427522457,0.6062085427522457,0.12969407653868859,0.9179054471980537,0.9179054471980537,0.2062908194507444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9179054471980537,0.9179054471980537,0.2062908194507444,0.676570038348934,0.676570038348934,0.1446463857160529,0.8823192858026473,0.8823192858026473,0.1929171544472393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8823192858026473,0.8823192858026473,0.1929171544472393,0.6735495443486867,0.6735495443486867,0.14385095305348236,181900
"(0.78, 1.56]","(11.31, 16.0]",238019,0.852082829219499,0.852082829219499,0.20468448568072625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231350.0,0.852082829219499,0.852082829219499,0.20468448568072625,208200.0,0.782858012553868,0.782858012553868,0.1774198138215014,0.954428007848113,0.954428007848113,0.2310977762279482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.954428007848113,0.954428007848113,0.2310977762279482,0.8736319369462103,0.8736319369462103,0.19795139715736976,0.9322323007827106,0.9322323007827106,0.21670827160856904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9322323007827106,0.9322323007827106,0.21670827160856904,0.8707960288884501,0.8707960288884501,0.19674461912704444,234100
