periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower
"(0.78, 1.56]","(0.5, 0.71]",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.78, 1.56]","(0.71, 1.0]",0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.78, 1.56]","(1.0, 1.41]",1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.78, 1.56]","(1.41, 2.0]",5.0,3.0,3.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.0,3.0,3.0,0.0,0.0,0.0,8.0,4.0,4.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0.78, 1.56]","(2.0, 2.83]",0.0,9.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"(0.78, 1.56]","(2.83, 4.0]",0.0,15.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,20.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,5.0,0.0,0.0,1.0,0.0
"(0.78, 1.56]","(4.0, 5.66]",0.0,24.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,24.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,28.0,0.0,0.0,3.0,0.0,0.0,14.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,14.0,0.0,0.0,3.0,0.0
"(0.78, 1.56]","(5.66, 8.0]",0.0,25.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,25.0,0.0,0.0,9.0,0.0,0.0,29.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,29.0,0.0,0.0,10.0,0.0,0.0,23.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,23.0,0.0,0.0,10.0,0.0
"(0.78, 1.56]","(8.0, 11.31]",0.0,32.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,32.0,0.0,0.0,23.0,0.0,0.0,36.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,36.0,0.0,0.0,25.0,0.0,0.0,34.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,34.0,0.0,0.0,25.0,0.0
"(0.78, 1.56]","(11.31, 16.0]",24.0,24.0,15.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,24.0,24.0,15.0,21.0,21.0,13.0,27.0,28.0,17.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,27.0,28.0,17.0,23.0,24.0,15.0,25.0,26.0,16.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.0,26.0,16.0,23.0,23.0,14.0
