periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",1165317,0.0004839740742331049,0.0004839740742331049,5.352925217983656e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.0004839740742331049,0.0004839740742331049,5.352925217983656e-05,4200.0,0.00048396510266891796,0.00048396510266891796,5.352817183549703e-05,0.0,0.0,0.0,0.0,0.000721692037445605,0.000721692037445605,7.906312188014081e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000721692037445605,0.000721692037445605,7.906312188014081e-05,0.000721692037445605,0.000721692037445605,7.906312188014081e-05,0.0,0.0,0.0,0.00015961322112352264,0.00015961322112352264,1.5800850755631282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015961322112352264,0.00015961322112352264,1.5800850755631282e-05,0.00015961322112352264,0.00015961322112352264,1.5800850755631282e-05,0.0,0.0,0.0,4400
"(0.78, 1.56]","(0.71, 1.0]",102542,0.005502166281291986,0.005502166281291986,0.0007130309852705817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.005502166281291986,0.005502166281291986,0.0007130309852705817,600.0,0.0022240723914631264,0.0022240723914631264,0.00023641160890542373,0.0,0.0,0.0,0.0,0.007918706481246707,0.007918706481246707,0.0009910836535273351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007918706481246707,0.007918706481246707,0.0009910836535273351,0.003071911997035361,0.003071911997035361,0.00033914981178443944,0.0,0.0,0.0,0.0007216555167638628,0.0007216555167638628,6.047473230481173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007216555167638628,0.0007216555167638628,6.047473230481173e-05,0.0007216555167638628,0.0007216555167638628,6.047473230481173e-05,0.0,0.0,0.0,3000
"(0.78, 1.56]","(1.0, 1.41]",17882,0.030617757505344807,0.030617757505344807,0.0036723619873899158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,0.030617757505344807,0.030617757505344807,0.0036723619873899158,100.0,0.004975528464377454,0.004975528464377454,0.0006323896678223733,0.0,0.0,0.0,0.0,0.045073258024829435,0.045073258024829435,0.00560376915333856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045073258024829435,0.045073258024829435,0.00560376915333856,0.005592215635834918,0.005592215635834918,0.0007107706073146197,0.0,0.0,0.0,0.00950676658091936,0.00950676658091936,0.0012736830332177626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00950676658091936,0.00950676658091936,0.0012736830332177626,0.005592215635834918,0.005592215635834918,0.0007107706073146197,0.0,0.0,0.0,2600
"(0.78, 1.56]","(1.41, 2.0]",8825,0.1477360433212615,0.1477360433212615,0.017870041473031777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.1477360433212615,0.1477360433212615,0.017870041473031777,100.0,0.010036274956809586,0.010036274956809586,0.0008882103336776494,0.0,0.0,0.0,0.0,0.20045325779036827,0.20045325779036827,0.024242368271954667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20045325779036827,0.20045325779036827,0.024242368271954667,0.011331444759206796,0.011331444759206796,0.0010028328611897998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900
"(0.78, 1.56]","(2.0, 2.83]",78529,0.2869480749096895,0.2869480749096895,0.03834547133796598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69600.0,0.2869480749096895,0.2869480749096895,0.03834547133796598,2600.0,0.02665506751928021,0.02665506751928021,0.0031674193270838365,0.0,0.0,0.0,0.0,0.400667269416394,0.400667269416394,0.05324377109093453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400667269416394,0.400667269416394,0.05324377109093453,0.030269072571916106,0.030269072571916106,0.0035865769333621967,0.0,0.0,0.0,0.07346330654917292,0.07346330654917292,0.010142973933196651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07346330654917292,0.07346330654917292,0.010142973933196651,0.023519973512969725,0.023519973512969725,0.0028698213398871755,0.0,0.0,0.0,69600
"(0.78, 1.56]","(2.83, 4.0]",77173,0.592786127742509,0.592786127742509,0.08030372811573976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73900.0,0.592786127742509,0.592786127742509,0.08030372811573976,14700.0,0.1586658859582906,0.1586658859582906,0.019941283212669497,0.0,0.0,0.0,0.0,0.7433169631866067,0.7433169631866067,0.10003527917795056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7433169631866067,0.7433169631866067,0.10003527917795056,0.18226581835616085,0.18226581835616085,0.02280425019112905,0.0,0.0,0.0,0.25419512005494144,0.25419512005494144,0.034837042748111405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25419512005494144,0.25419512005494144,0.034837042748111405,0.12164876316846565,0.12164876316846565,0.0159745999248442,0.0,0.0,0.0,73900
"(0.78, 1.56]","(4.0, 5.66]",30946,0.6892392389032981,0.6892392389032981,0.09600090588056293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27000.0,0.6892392389032981,0.6892392389032981,0.09600090588056293,9200.0,0.2635283722041333,0.2635283722041333,0.034748217630994824,0.0,0.0,0.0,0.0,0.7914754734052865,0.7914754734052865,0.11016954048988564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914754734052865,0.7914754734052865,0.11016954048988564,0.2940606217281717,0.2940606217281717,0.03873909390551282,0.0,0.0,0.0,0.5247527951916241,0.5247527951916241,0.07349971240224915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5247527951916241,0.5247527951916241,0.07349971240224915,0.2640082724746332,0.2640082724746332,0.034721621534285534,0.0,0.0,0.0,27000
"(0.78, 1.56]","(5.66, 8.0]",28132,0.8453255694862392,0.8453255694862392,0.1232785080429285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27800.0,0.8453255694862392,0.8453255694862392,0.1232785080429285,21200.0,0.6748847990914751,0.6748847990914751,0.0965349478789123,0.0,0.0,0.0,0.0,0.9553533342812456,0.9553533342812456,0.13922665292193975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9553533342812456,0.9553533342812456,0.13922665292193975,0.7534835774207308,0.7534835774207308,0.10757208872458424,0.0,0.0,0.0,0.8369117019763971,0.8369117019763971,0.12303304422010528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8369117019763971,0.8369117019763971,0.12303304422010528,0.6983506327314091,0.6983506327314091,0.10090169202331874,0.0,0.0,0.0,27800
"(0.78, 1.56]","(8.0, 11.31]",33759,0.8333202766931859,0.8333202766931859,0.12971395325423016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31700.0,0.8333202766931859,0.8333202766931859,0.12971395325423016,29900.0,0.7919882770138857,0.7919882770138857,0.12301856193487655,0.0,0.0,0.0,0.0,0.9301223377469712,0.9301223377469712,0.14473977309754435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9301223377469712,0.9301223377469712,0.14473977309754435,0.8827275689445778,0.8827275689445778,0.1370784087206376,0.0,0.0,0.0,0.8838828164341361,0.8838828164341361,0.13720238454930528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8838828164341361,0.8838828164341361,0.13720238454930528,0.8583785064723481,0.8583785064723481,0.1329731034687047,0.0,0.0,0.0,31700
"(0.78, 1.56]","(11.31, 16.0]",22506,0.8881837682479774,0.8881837682479774,0.14875848127835767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,0.8881837682479774,0.8881837682479774,0.14875848127835767,22100.0,0.8803204074044887,0.8803204074044887,0.14695153652365409,0.0,0.0,0.0,0.0,0.9908468852750376,0.9908468852750376,0.16586199235759372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9908468852750376,0.9908468852750376,0.16586199235759372,0.9819603661245891,0.9819603661245891,0.16381942593086307,0.0,0.0,0.0,0.9641873278236917,0.9641873278236917,0.16106371634230887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9641873278236917,0.9641873278236917,0.16106371634230887,0.9597440682484673,0.9597440682484673,0.16021771971918616,0.0,0.0,0.0,22300
