periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",8909,0.00032573084944264853,0.00032573084944264853,2.9771799639058074e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.00032573084944264853,0.00032573084944264853,2.9771799639058074e-05,100.0,0.00032573084944264853,0.00032573084944264853,2.9771799639058074e-05,0.00022449208665394546,0.00022449208665394546,2.051857672017062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022449208665394546,0.00022449208665394546,2.051857672017062e-05,0.00022449208665394546,0.00022449208665394546,2.051857672017062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(0.78, 1.56]","(0.71, 1.0]",17872,0.01537677022321401,0.01537677022321401,0.0010466209468128194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.01537677022321401,0.01537677022321401,0.0010466209468128194,500.0,0.01537677022321401,0.01537677022321401,0.0010466209468128194,0.019807520143240824,0.019807520143240824,0.0013557520143240812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019807520143240824,0.019807520143240824,0.0013557520143240812,0.019807520143240824,0.019807520143240824,0.0013557520143240812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500
"(0.78, 1.56]","(1.0, 1.41]",35634,0.004288267869186303,0.004288267869186303,0.00047596166610196634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,0.004288267869186303,0.004288267869186303,0.00047596166610196634,1100.0,0.004288267869186303,0.004288267869186303,0.00047596166610196634,0.007212213054947522,0.007212213054947522,0.0007830442835494186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007212213054947522,0.007212213054947522,0.0007830442835494186,0.007212213054947522,0.007212213054947522,0.0007830442835494186,0.0010944603468597406,0.0010944603468597406,0.00012509681764606842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010944603468597406,0.0010944603468597406,0.00012509681764606842,0.0010944603468597406,0.0010944603468597406,0.00012509681764606842,1100
"(0.78, 1.56]","(1.41, 2.0]",26728,0.017616567189970837,0.017616567189970837,0.002413908213347155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080.0,0.017616567189970837,0.017616567189970837,0.002413908213347155,1000.0,0.014074687709626648,0.014074687709626648,0.0012960364385890316,0.022074229272672843,0.022074229272672843,0.0028814351990422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022074229272672843,0.022074229272672843,0.0028814351990422,0.018332834480694404,0.018332834480694404,0.0017103786291529468,0.0074827895839569,0.0074827895839569,0.000645764741095479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074827895839569,0.0074827895839569,0.000645764741095479,0.0074827895839569,0.0074827895839569,0.000645764741095479,2100
"(0.78, 1.56]","(2.0, 2.83]",17818,0.05202252147390812,0.05202252147390812,0.011584966990493868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.0,0.05202252147390812,0.05202252147390812,0.011584966990493868,1600.0,0.0432958623142523,0.0432958623142523,0.008536462665791982,0.07043439218767539,0.07043439218767539,0.01691602312268492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07043439218767539,0.07043439218767539,0.01691602312268492,0.04994948928050287,0.04994948928050287,0.009900774497698954,0.0222247165787406,0.0222247165787406,0.001976203838814682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222247165787406,0.0222247165787406,0.001976203838814682,0.0222247165787406,0.0222247165787406,0.001976203838814682,3600
"(0.78, 1.56]","(2.83, 4.0]",9075,0.14190026663433813,0.14190026663433813,0.04044786647724011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4740.0,0.14190026663433813,0.14190026663433813,0.04044786647724011,1100.0,0.09112193848525674,0.09112193848525674,0.023554695107329392,0.181267217630854,0.181267217630854,0.051920187327823705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181267217630854,0.181267217630854,0.051920187327823705,0.10743801652892562,0.10743801652892562,0.027618732782369138,0.03713498622589531,0.03713498622589531,0.007506887052341601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03713498622589531,0.03713498622589531,0.007506887052341601,0.03713498622589531,0.03713498622589531,0.007506887052341601,4800
"(0.78, 1.56]","(4.0, 5.66]",6173,0.28696924431881177,0.28696924431881177,0.08743221720724369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4560.0,0.28696924431881177,0.28696924431881177,0.08743221720724369,900.0,0.12761485952200596,0.12761485952200596,0.02603735472821838,0.3883039040984934,0.3883039040984934,0.1222278794751336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3883039040984934,0.3883039040984934,0.1222278794751336,0.14417625141746315,0.14417625141746315,0.02950672282520652,0.11015713591446623,0.11015713591446623,0.020648112749068505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11015713591446623,0.11015713591446623,0.020648112749068505,0.10189535072088125,0.10189535072088125,0.01774582860845616,4600
"(0.78, 1.56]","(5.66, 8.0]",6890,0.47476935735867,0.47476935735867,0.17800598073716647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4960.0,0.47476935735867,0.47476935735867,0.17800598073716647,2100.0,0.25632428951763936,0.25632428951763936,0.0952867091803381,0.5757619738751815,0.5757619738751815,0.21907613933236575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5757619738751815,0.5757619738751815,0.21907613933236575,0.28592162554426703,0.28592162554426703,0.10618577648766327,0.24281567489114667,0.24281567489114667,0.08779094339622638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24281567489114667,0.24281567489114667,0.08779094339622638,0.2076923076923077,0.2076923076923077,0.07384759071117557,5000
"(0.78, 1.56]","(8.0, 11.31]",8491,0.5843505468469422,0.5843505468469422,0.22901084493308718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6190.0,0.5843505468469422,0.5843505468469422,0.22901084493308718,3400.0,0.3559252022927916,0.3559252022927916,0.1320046455498855,0.6809563066776587,0.6809563066776587,0.27037178188670363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809563066776587,0.6809563066776587,0.27037178188670363,0.4004239783299965,0.4004239783299965,0.1493557884819221,0.43987751737133435,0.43987751737133435,0.16377894240961016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43987751737133435,0.43987751737133435,0.16377894240961016,0.35508185137204096,0.35508185137204096,0.1300708043811094,6200
"(0.78, 1.56]","(11.31, 16.0]",19798,0.7871471356097516,0.7871471356097516,0.3080337595233024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18440.0,0.7871471356097516,0.7871471356097516,0.3080337595233024,14000.0,0.6271607508134832,0.6271607508134832,0.2329071334504646,0.8934740882917467,0.8934740882917467,0.35056604707546213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8934740882917467,0.8934740882917467,0.35056604707546213,0.7033538741286999,0.7033538741286999,0.2611955500555612,0.7755328821093039,0.7755328821093039,0.29494537832104273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7755328821093039,0.7755328821093039,0.29494537832104273,0.6712294171128397,0.6712294171128397,0.24728395797555316,18500
