periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",67878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(0.71, 1.0]",135755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(1.0, 1.41]",271510,0.0002503261225897858,0.0002503261225897858,8.097222858851641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0002503261225897858,0.0002503261225897858,8.097222858851641e-05,300.0,0.00020778783529525432,0.00020778783529525432,6.906600986213187e-05,0.0,0.0,0.0,0.0,0.0005524658391956097,0.0005524658391956097,0.00017727155537549261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005524658391956097,0.0005524658391956097,0.00017727155537549261,0.0004051416154101138,0.0004051416154101138,0.00013607970240506792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600
"(0.78, 1.56]","(1.41, 2.0]",203634,0.0032818725456088046,0.0032818725456088046,0.0011304542928737406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4280.0,0.0032818725456088046,0.0032818725456088046,0.0011304542928737406,100.0,0.00043074001406543164,0.00043074001406543164,0.00015360188901573287,0.0,0.0,0.0,0.0,0.0058585501438855984,0.0058585501438855984,0.0020113055776540254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058585501438855984,0.0058585501438855984,0.0020113055776540254,0.0004910771285738138,0.0004910771285738138,0.00017511810404942209,0.0,0.0,0.0,0.0003388432187159316,0.0003388432187159316,0.00012083149179410125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003388432187159316,0.0003388432187159316,0.00012083149179410125,0.0003388432187159316,0.0003388432187159316,0.00012083149179410125,0.0,0.0,0.0,4300
"(0.78, 1.56]","(2.0, 2.83]",135755,0.03436302516200654,0.03436302516200654,0.011060524648004035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14120.0,0.03436302516200654,0.03436302516200654,0.011060524648004035,1100.0,0.005513921187936383,0.005513921187936383,0.0018096733358063232,0.0,0.0,0.0,0.0,0.04833707782402121,0.04833707782402121,0.015469924496335313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04833707782402121,0.04833707782402121,0.015469924496335313,0.006563294169643844,0.006563294169643844,0.002137221465139405,0.0,0.0,0.0,0.0058045744171485395,0.0058045744171485395,0.002068099149202607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058045744171485395,0.0058045744171485395,0.002068099149202607,0.002401384847703584,0.002401384847703584,0.0007809259327464915,0.0,0.0,0.0,14200
"(0.78, 1.56]","(2.83, 4.0]",67878,0.14914766766136558,0.14914766766136558,0.048703428233802165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24230.0,0.14914766766136558,0.14914766766136558,0.048703428233802165,1900.0,0.02338355186273302,0.02338355186273302,0.007723522243133696,0.0,0.0,0.0,0.0,0.19729514717581545,0.19729514717581545,0.06408025133327441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19729514717581545,0.19729514717581545,0.06408025133327441,0.026223518665841654,0.026223518665841654,0.00870090456407083,0.0,0.0,0.0,0.03347181708359115,0.03347181708359115,0.010946421520964079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03347181708359115,0.03347181708359115,0.010946421520964079,0.0162497421845075,0.0162497421845075,0.005253736114794191,0.0,0.0,0.0,24300
"(0.78, 1.56]","(4.0, 5.66]",42840,0.35030722289843125,0.35030722289843125,0.11849428988756677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31130.0,0.35030722289843125,0.35030722289843125,0.11849428988756677,1800.0,0.03832720429641912,0.03832720429641912,0.013587135931588196,0.0,0.0,0.0,0.0,0.453874883286648,0.453874883286648,0.15475986928104574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.453874883286648,0.453874883286648,0.15475986928104574,0.041549953314659195,0.041549953314659195,0.014730648926237162,0.0,0.0,0.0,0.11979458450046686,0.11979458450046686,0.040097609710550874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11979458450046686,0.11979458450046686,0.040097609710550874,0.028618113912231558,0.028618113912231558,0.010064584500466852,0.0,0.0,0.0,31300
"(0.78, 1.56]","(5.66, 8.0]",51379,0.5348073858864478,0.5348073858864478,0.19046240468573492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41870.0,0.5348073858864478,0.5348073858864478,0.19046240468573492,5600.0,0.09808765637379575,0.09808765637379575,0.03212804459163641,0.0,0.0,0.0,0.0,0.6512777593958621,0.6512777593958621,0.23406689114229548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6512777593958621,0.6512777593958621,0.23406689114229548,0.10759259619688978,0.10759259619688978,0.0352181630627299,0.0,0.0,0.0,0.27773993265731134,0.27773993265731134,0.09449777730201053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27773993265731134,0.27773993265731134,0.09449777730201053,0.09562272523793768,0.09562272523793768,0.0311342747036727,0.0,0.0,0.0,42100
"(0.78, 1.56]","(8.0, 11.31]",60916,0.7115059659826982,0.7115059659826982,0.26132450618649444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54540.0,0.7115059659826982,0.7115059659826982,0.26132450618649444,16600.0,0.24267491918625494,0.24267491918625494,0.08419376227353217,0.0,0.0,0.0,0.0,0.8131689539694005,0.8131689539694005,0.29987595541401274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8131689539694005,0.8131689539694005,0.29987595541401274,0.26554599776741744,0.26554599776741744,0.092084155230153,0.0,0.0,0.0,0.5312889881147809,0.5312889881147809,0.1890119541663931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5312889881147809,0.5312889881147809,0.1890119541663931,0.23622693545209797,0.23622693545209797,0.0812820884496684,0.0,0.0,0.0,54700
"(0.78, 1.56]","(11.31, 16.0]",141013,0.8099663243305429,0.8099663243305429,0.309521656852697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131260.0,0.8099663243305429,0.8099663243305429,0.309521656852697,74600.0,0.4840184597091456,0.4840184597091456,0.17359697867792787,0.0,0.0,0.0,0.0,0.8951656939431116,0.8951656939431116,0.3425131874366192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8951656939431116,0.8951656939431116,0.3425131874366192,0.5266181132236034,0.5266181132236034,0.18861314914227767,0.0,0.0,0.0,0.762128314410728,0.762128314410728,0.2843925014005801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.762128314410728,0.762128314410728,0.2843925014005801,0.5071518228815782,0.5071518228815782,0.18075297383929143,0.0,0.0,0.0,131500
"(1.56, 3.13]","(0.5, 0.71]",203634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(1.56, 3.13]","(0.71, 1.0]",543024,2.8931202961076797e-06,2.8931202961076797e-06,5.549486612969025e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,2.8931202961076797e-06,2.8931202961076797e-06,5.549486612969025e-07,200.0,2.8930945001133748e-06,2.8930945001133748e-06,5.549416086720596e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300
"(1.56, 3.13]","(1.0, 1.41]",1696944,0.00037864318668835354,0.00037864318668835354,7.208306806803125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800.0,0.00037864318668835354,0.00037864318668835354,7.208306806803125e-05,600.0,0.00010760923791241508,0.00010760923791241508,2.424690409980068e-05,0.0,0.0,0.0,0.0,0.0006829924853147776,0.0006829924853147776,0.00013128771485682492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006829924853147776,0.0006829924853147776,0.00013128771485682492,0.00021980689993305612,0.00021980689993305612,4.976351606181463e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5800
"(1.56, 3.13]","(1.41, 2.0]",950289,0.0025699831465278715,0.0025699831465278715,0.0005451873040678574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18880.0,0.0025699831465278715,0.0025699831465278715,0.0005451873040678574,1100.0,0.0005095966604231898,0.0005095966604231898,0.00011025028200432725,0.0,0.0,0.0,0.0,0.004376563340204927,0.004376563340204927,0.0009147919211944998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004376563340204927,0.004376563340204927,0.0009147919211944998,0.0006419099873827856,0.0006419099873827856,0.00013979641982596872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18900
"(1.56, 3.13]","(2.0, 2.83]",271510,0.018321771389479675,0.018321771389479675,0.003908125745434011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28400.0,0.018321771389479675,0.018321771389479675,0.003908125745434011,1000.0,0.0027075325024261128,0.0027075325024261128,0.0005649725921626862,0.0,0.0,0.0,0.0,0.02861036425914331,0.02861036425914331,0.00606024566314316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02861036425914331,0.02861036425914331,0.00606024566314316,0.0033810909358771325,0.0033810909358771325,0.0007137077824021211,0.0,0.0,0.0,0.002312990313432286,0.002312990313432286,0.0004914463555670141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002312990313432286,0.002312990313432286,0.0004914463555670141,0.0012743545357445398,0.0012743545357445398,0.00025898419947699886,0.0,0.0,0.0,28400
"(1.56, 3.13]","(2.83, 4.0]",203634,0.09342096559606085,0.09342096559606085,0.019576902119297412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69700.0,0.09342096559606085,0.09342096559606085,0.019576902119297412,3600.0,0.01376742157036029,0.01376742157036029,0.0029940227546401254,0.0,0.0,0.0,0.0,0.13299350796036025,0.13299350796036025,0.02790477523399825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13299350796036025,0.13299350796036025,0.02790477523399825,0.016401976094365382,0.016401976094365382,0.0035707445711423416,0.0,0.0,0.0,0.01456043686221358,0.01456043686221358,0.0029644091851066126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01456043686221358,0.01456043686221358,0.0029644091851066126,0.007994735653181689,0.007994735653181689,0.0017324150191029,0.0,0.0,0.0,69700
"(1.56, 3.13]","(4.0, 5.66]",127403,0.23879013626036286,0.23879013626036286,0.05077753799527527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87580.0,0.23879013626036286,0.23879013626036286,0.05077753799527527,2700.0,0.015615886804674347,0.015615886804674347,0.00333074098493278,0.0,0.0,0.0,0.0,0.3254554445342731,0.3254554445342731,0.06945601673429982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3254554445342731,0.3254554445342731,0.06945601673429982,0.01947363876831786,0.01947363876831786,0.004134401073758075,0.0,0.0,0.0,0.07031231603651406,0.07031231603651406,0.014521333877538204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07031231603651406,0.07031231603651406,0.014521333877538204,0.014552247592285895,0.014552247592285895,0.003118257811825468,0.0,0.0,0.0,87600
"(1.56, 3.13]","(5.66, 8.0]",154254,0.5110465079903974,0.5110465079903974,0.11312951647534816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141080.0,0.5110465079903974,0.5110465079903974,0.11312951647534816,13700.0,0.07438052306560018,0.07438052306560018,0.01572230573538368,0.0,0.0,0.0,0.0,0.644644547305094,0.644644547305094,0.14333994580367448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644644547305094,0.644644547305094,0.14333994580367448,0.0847433453913675,0.0847433453913675,0.01794449220117469,0.0,0.0,0.0,0.2383536245413409,0.2383536245413409,0.05141810779623221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2383536245413409,0.2383536245413409,0.05141810779623221,0.07345028329897445,0.07345028329897445,0.015492026138706292,0.0,0.0,0.0,141100
"(1.56, 3.13]","(8.0, 11.31]",179298,0.6837113790569594,0.6837113790569594,0.1579069248249225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168800.0,0.6837113790569594,0.6837113790569594,0.1579069248249225,34100.0,0.1667511110313363,0.1667511110313363,0.03596234093764714,0.0,0.0,0.0,0.0,0.8137737174982431,0.8137737174982431,0.1888356741291035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8137737174982431,0.8137737174982431,0.1888356741291035,0.1878269696259858,0.1878269696259858,0.040564585773405146,0.0,0.0,0.0,0.45620698501935336,0.45620698501935336,0.10195730181039388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45620698501935336,0.45620698501935336,0.10195730181039388,0.1707715646577207,0.1707715646577207,0.03662829423641088,0.0,0.0,0.0,168800
"(1.56, 3.13]","(11.31, 16.0]",416067,0.8105332185643477,0.8105332185643477,0.19388131706314124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,407870.0,0.8105332185643477,0.8105332185643477,0.19388131706314124,174900.0,0.3708923863309625,0.3708923863309625,0.08256826850471087,0.0,0.0,0.0,0.0,0.931059180372392,0.931059180372392,0.22340858251195111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.931059180372392,0.931059180372392,0.22340858251195111,0.4172020371718978,0.4172020371718978,0.09282175490966599,0.0,0.0,0.0,0.7353431057978643,0.7353431057978643,0.17141934207711745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7353431057978643,0.7353431057978643,0.17141934207711745,0.393636121105495,0.393636121105495,0.08729858940987871,0.0,0.0,0.0,407900
"(3.13, 6.25]","(0.5, 0.71]",746655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(3.13, 6.25]","(0.71, 1.0]",1832701,1.017818568774246e-08,1.017818568774246e-08,1.0041987244334302e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,1.017818568774246e-08,1.017818568774246e-08,1.0041987244334302e-09,200.0,1.017818568774246e-08,1.017818568774246e-08,1.0041987244334302e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200
