periodbin,radiusbin,GAMMA_YIELD,GAMMA_YIELD_upper,GAMMA_YIELD_lower,MONO_GAMMA_YIELD,MONO_GAMMA_YIELD_upper,MONO_GAMMA_YIELD_lower,DUO_GAMMA_YIELD,DUO_GAMMA_YIELD_upper,DUO_GAMMA_YIELD_lower,TRIO_GAMMA_YIELD,TRIO_GAMMA_YIELD_upper,TRIO_GAMMA_YIELD_lower,MULTI_GAMMA_YIELD,MULTI_GAMMA_YIELD_upper,MULTI_GAMMA_YIELD_lower,TSM_CUTOFF_GAMMA_YIELD,TSM_CUTOFF_GAMMA_YIELD_upper,TSM_CUTOFF_GAMMA_YIELD_lower,TRUE_DUO_GAMMA_YIELD,TRUE_DUO_GAMMA_YIELD_upper,TRUE_DUO_GAMMA_YIELD_lower,THR_7-3_YIELD,THR_7-3_YIELD_upper,THR_7-3_YIELD_lower,MONO_THR_7-3_YIELD,MONO_THR_7-3_YIELD_upper,MONO_THR_7-3_YIELD_lower,DUO_THR_7-3_YIELD,DUO_THR_7-3_YIELD_upper,DUO_THR_7-3_YIELD_lower,TRIO_THR_7-3_YIELD,TRIO_THR_7-3_YIELD_upper,TRIO_THR_7-3_YIELD_lower,MULTI_THR_7-3_YIELD,MULTI_THR_7-3_YIELD_upper,MULTI_THR_7-3_YIELD_lower,TSM_CUTOFF_THR_7-3_YIELD,TSM_CUTOFF_THR_7-3_YIELD_upper,TSM_CUTOFF_THR_7-3_YIELD_lower,TRUE_DUO_THR_7-3_YIELD,TRUE_DUO_THR_7-3_YIELD_upper,TRUE_DUO_THR_7-3_YIELD_lower,THR_20_YIELD,THR_20_YIELD_upper,THR_20_YIELD_lower,MONO_THR_20_YIELD,MONO_THR_20_YIELD_upper,MONO_THR_20_YIELD_lower,DUO_THR_20_YIELD,DUO_THR_20_YIELD_upper,DUO_THR_20_YIELD_lower,TRIO_THR_20_YIELD,TRIO_THR_20_YIELD_upper,TRIO_THR_20_YIELD_lower,MULTI_THR_20_YIELD,MULTI_THR_20_YIELD_upper,MULTI_THR_20_YIELD_lower,TSM_CUTOFF_THR_20_YIELD,TSM_CUTOFF_THR_20_YIELD_upper,TSM_CUTOFF_THR_20_YIELD_lower,TRUE_DUO_THR_20_YIELD,TRUE_DUO_THR_20_YIELD_upper,TRUE_DUO_THR_20_YIELD_lower
"(0.78, 1.56]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(0.71, 1.0]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(1.0, 1.41]",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(0.78, 1.56]","(1.41, 2.0]",10,6,5,0,0,0,0,0,0,0,0,0,10,6,5,0,0,0,0,0,0,16,9,7,0,0,0,0,0,0,0,0,0,16,9,7,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"(0.78, 1.56]","(2.0, 2.83]",1,18,1,0,0,0,0,0,0,0,0,0,1,18,1,0,0,0,0,0,0,2,24,1,0,0,0,0,0,0,0,0,0,2,24,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"(0.78, 1.56]","(2.83, 4.0]",9,26,7,0,0,0,0,0,0,0,0,0,9,26,7,0,4,0,0,0,0,12,32,9,0,0,0,0,0,0,0,0,0,12,32,9,0,4,0,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,1,11,2,0,3,0,0,0,0
"(0.78, 1.56]","(4.0, 5.66]",13,42,13,0,0,0,0,0,0,0,0,0,13,42,13,0,5,0,0,0,0,16,50,16,0,0,0,0,0,0,0,0,0,16,50,16,1,5,1,0,0,0,6,24,6,0,0,0,0,0,0,0,0,0,6,24,6,0,5,0,0,0,0
"(0.78, 1.56]","(5.66, 8.0]",0,57,0,0,0,0,0,0,0,0,0,0,0,57,0,0,13,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,65,0,0,14,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,44,0,0,14,0,0,0,0
"(0.78, 1.56]","(8.0, 11.31]",0,64,0,0,0,0,0,0,0,0,0,0,0,64,0,0,31,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,70,0,0,34,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,61,0,0,34,0,0,0,0
"(0.78, 1.56]","(11.31, 16.0]",87,51,31,0,0,0,0,0,0,0,0,0,87,51,31,58,35,22,0,0,0,94,57,35,0,0,0,0,0,0,0,0,0,94,57,35,66,38,23,0,0,0,90,54,32,0,0,0,0,0,0,0,0,0,90,54,32,66,38,23,0,0,0
"(1.56, 3.13]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(0.71, 1.0]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(1.0, 1.41]",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(1.56, 3.13]","(1.41, 2.0]",19,7,4,0,0,0,0,0,0,0,0,0,19,7,4,0,0,0,0,0,0,30,11,7,0,0,0,0,0,0,0,0,0,30,11,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"(1.56, 3.13]","(2.0, 2.83]",24,19,9,0,0,0,0,0,0,0,0,0,24,19,9,0,1,0,0,0,0,36,25,12,0,0,0,0,0,0,0,0,0,36,25,12,0,1,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,3,6,2,0,1,0,0,0,0
"(1.56, 3.13]","(2.83, 4.0]",42,33,15,0,0,0,0,0,0,0,0,0,42,33,15,2,4,1,0,0,0,56,42,19,0,0,0,0,0,0,0,0,0,56,42,19,2,6,1,0,0,0,12,16,5,0,0,0,0,0,0,0,0,0,12,16,5,2,4,1,0,0,0
"(1.56, 3.13]","(4.0, 5.66]",17,34,10,0,0,0,0,0,0,0,0,0,17,34,10,0,2,0,0,0,0,22,43,13,0,0,0,0,0,0,0,0,0,22,43,13,0,2,0,0,0,0,6,18,4,0,0,0,0,0,0,0,0,0,6,18,4,0,2,0,0,0,0
"(1.56, 3.13]","(5.66, 8.0]",0,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,6,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51,0,0,7,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,30,0,0,7,0,0,0,0
"(1.56, 3.13]","(8.0, 11.31]",18,54,12,0,0,0,0,0,0,0,0,0,18,54,12,4,18,2,0,0,0,21,62,14,0,0,0,0,0,0,0,0,0,21,62,14,4,21,3,0,0,0,16,49,11,0,0,0,0,0,0,0,0,0,16,49,11,4,20,3,0,0,0
"(1.56, 3.13]","(11.31, 16.0]",195,78,56,0,0,0,0,0,0,0,0,0,195,78,56,99,39,29,0,0,0,220,88,62,0,0,0,0,0,0,0,0,0,220,88,62,112,44,31,0,0,0,205,83,60,0,0,0,0,0,0,0,0,0,205,83,60,110,44,32,0,0,0
"(3.13, 6.25]","(0.5, 0.71]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(0.71, 1.0]",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(1.0, 1.41]",2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3.13, 6.25]","(1.41, 2.0]",24,6,4,0,0,0,0,0,0,0,0,0,24,6,4,0,0,0,0,0,0,38,9,6,0,0,0,0,0,0,0,0,0,38,9,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"(3.13, 6.25]","(2.0, 2.83]",72,19,13,0,0,0,0,0,0,0,0,0,72,19,12,0,1,0,0,0,0,108,28,18,0,0,0,0,0,0,0,0,0,107,28,18,1,1,0,0,0,0,9,4,2,0,0,0,0,0,0,0,0,0,9,4,2,0,1,0,0,0,0
"(3.13, 6.25]","(2.83, 4.0]",71,37,21,0,0,0,0,0,0,0,0,0,71,37,21,2,3,0,0,0,0,99,50,30,0,0,0,0,0,0,0,0,0,99,50,29,2,4,1,0,0,0,18,13,6,0,0,0,0,0,0,0,0,0,18,13,6,2,3,0,0,0,0
"(3.13, 6.25]","(4.0, 5.66]",93,36,27,0,0,0,0,0,0,0,0,0,93,36,27,1,2,0,0,0,0,124,47,35,0,0,0,0,0,0,0,0,0,123,46,35,2,2,0,0,0,0,35,15,11,0,0,0,0,0,0,0,0,0,35,14,11,1,2,0,0,0,0
