periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",384363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(0.71, 1.0]",768730,0.00018162511491804024,0.00018162511491804024,4.443233666663539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.00018162511491804024,0.00018162511491804024,4.443233666663539e-05,200.0,0.00011410849625484684,0.00011410849625484684,2.7420039119582294e-05,0.0,0.0,0.0,0.0,0.00023805497378793592,0.00023805497378793592,6.071416492136383e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023805497378793592,0.00023805497378793592,6.071416492136383e-05,0.0001300846851300196,0.0001300846851300196,3.125934983674376e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700
"(0.78, 1.56]","(1.0, 1.41]",1537457,0.0012149165481113492,0.0012149165481113492,0.0003196170538371335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7690.0,0.0012149165481113492,0.0012149165481113492,0.0003196170538371335,400.0,0.00016251409390381376,0.00016251409390381376,4.7401565560171194e-05,0.0,0.0,0.0,0.0,0.0018907845877966017,0.0018907845877966017,0.0004971461966090761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018907845877966017,0.0018907845877966017,0.0004971461966090761,0.000224396519707543,0.000224396519707543,6.498263040852529e-05,0.0,0.0,0.0,0.0001300849389608945,0.0001300849389608945,3.289848106321026e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001300849389608945,0.0001300849389608945,3.289848106321026e-05,0.0,0.0,0.0,0.0,0.0,0.0,7700
"(0.78, 1.56]","(1.41, 2.0]",1153092,0.01354198575955168,0.01354198575955168,0.0035191334984592923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55670.0,0.01354198575955168,0.01354198575955168,0.0035191334984592923,1900.0,0.001053284262332057,0.001053284262332057,0.0002601046971085727,0.0,0.0,0.0,0.0,0.020688722148796454,0.020688722148796454,0.005381464011544614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020688722148796454,0.020688722148796454,0.005381464011544614,0.001246214525814072,0.001246214525814072,0.0003100329375279684,0.0,0.0,0.0,0.0009556913065045981,0.0009556913065045981,0.00023072252691025527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009556913065045981,0.0009556913065045981,0.00023072252691025527,0.0005350830636237178,0.0005350830636237178,0.00012649302917720358,0.0,0.0,0.0,55800
"(0.78, 1.56]","(2.0, 2.83]",768730,0.06618489559944962,0.06618489559944962,0.017756699866068267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156220.0,0.06618489559944962,0.06618489559944962,0.017756699866068267,3400.0,0.003630989286219115,0.003630989286219115,0.001031481589838221,0.0,0.0,0.0,0.0,0.09666723036696892,0.09666723036696892,0.025959387040963674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09666723036696892,0.09666723036696892,0.025959387040963674,0.00410937520325732,0.00410937520325732,0.0011651832242790061,0.0,0.0,0.0,0.0105966984506914,0.0105966984506914,0.0028181596919594635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105966984506914,0.0105966984506914,0.0028181596919594635,0.0027044606038531074,0.0027044606038531074,0.0007590952610149207,0.0,0.0,0.0,156400
"(0.78, 1.56]","(2.83, 4.0]",384363,0.23551722976947473,0.23551722976947473,0.06483577362273395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220770.0,0.23551722976947473,0.23551722976947473,0.06483577362273395,7600.0,0.017026671665437008,0.017026671665437008,0.004583668893418614,0.0,0.0,0.0,0.0,0.32002820250648467,0.32002820250648467,0.08853065773760746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32002820250648467,0.32002820250648467,0.08853065773760746,0.019117344801658852,0.019117344801658852,0.005155437698217574,0.0,0.0,0.0,0.05690714246688676,0.05690714246688676,0.015304168455340394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05690714246688676,0.05690714246688676,0.015304168455340394,0.014254753969554822,0.014254753969554822,0.0037004680471325302,0.0,0.0,0.0,221000
"(0.78, 1.56]","(4.0, 5.66]",240356,0.5343455410989706,0.5343455410989706,0.1550886972314832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218130.0,0.5343455410989706,0.5343455410989706,0.1550886972314832,9300.0,0.035839849471699124,0.035839849471699124,0.009907560576112646,0.0,0.0,0.0,0.0,0.6680049593103563,0.6680049593103563,0.19551211494616322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6680049593103563,0.6680049593103563,0.19551211494616322,0.03869260596781441,0.03869260596781441,0.010669881342675033,0.0,0.0,0.0,0.19886335269350464,0.19886335269350464,0.054572086405165664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19886335269350464,0.19886335269350464,0.054572086405165664,0.03689527201318044,0.03689527201318044,0.010116555442759908,0.0,0.0,0.0,218400
"(0.78, 1.56]","(5.66, 8.0]",289913,0.7322919913897923,0.7322919913897923,0.21983293762861186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274700.0,0.7322919913897923,0.7322919913897923,0.21983293762861186,31500.0,0.09952111781824277,0.09952111781824277,0.02776014968817482,0.0,0.0,0.0,0.0,0.8463746020357832,0.8463746020357832,0.2550355351433017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8463746020357832,0.8463746020357832,0.2550355351433017,0.10789443729670625,0.10789443729670625,0.030053112485469775,0.0,0.0,0.0,0.49044023551893157,0.49044023551893157,0.14212642240948148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49044023551893157,0.49044023551893157,0.14212642240948148,0.10528330913067022,0.10528330913067022,0.029317714279801173,0.0,0.0,0.0,274900
"(0.78, 1.56]","(8.0, 11.31]",341572,0.8621807522947185,0.8621807522947185,0.2670792499009318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334020.0,0.8621807522947185,0.8621807522947185,0.2670792499009318,98900.0,0.26697544262884376,0.26697544262884376,0.0765086942943269,0.0,0.0,0.0,0.0,0.9533187732015505,0.9533187732015505,0.29563526957713154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9533187732015505,0.9533187732015505,0.29563526957713154,0.2895436394083824,0.2895436394083824,0.08282690033140887,0.0,0.0,0.0,0.7818937149415056,0.7818937149415056,0.23599805399740026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7818937149415056,0.7818937149415056,0.23599805399740026,0.28760261379738383,0.28760261379738383,0.08221877788577515,0.0,0.0,0.0,334100
"(0.78, 1.56]","(11.31, 16.0]",787379,0.8861948436305108,0.8861948436305108,0.2827890149290823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766840.0,0.8861948436305108,0.8861948436305108,0.2827890149290823,449900.0,0.5248611129768082,0.5248611129768082,0.15822876271501496,0.0,0.0,0.0,0.0,0.9678668087414066,0.9678668087414066,0.308567849282239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9678668087414066,0.9678668087414066,0.308567849282239,0.5704584450436194,0.5704584450436194,0.171643155075256,0.0,0.0,0.0,0.9241064341314665,0.9241064341314665,0.29179049885760233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9241064341314665,0.9241064341314665,0.29179049885760233,0.5661111104055354,0.5661111104055354,0.17019920216312598,0.0,0.0,0.0,767000
