periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",351081,1.7674507884052276e-05,1.7674507884052276e-05,4.572395189604323e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.7674507884052276e-05,1.7674507884052276e-05,4.572395189604323e-06,100.0,1.7674507884052276e-05,1.7674507884052276e-05,4.572395189604323e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(0.78, 1.56]","(0.71, 1.0]",1638387,0.00027898835255234277,0.00027898835255234277,6.031247144427727e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.00027898835255234277,0.00027898835255234277,6.031247144427727e-05,1400.0,0.0002155558169552752,0.0002155558169552752,4.5118335425577475e-05,0.0,0.0,0.0,0.0,0.0003540067151411724,0.0003540067151411724,7.547813794909266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003540067151411724,0.0003540067151411724,7.547813794909266e-05,0.00025146683903131556,0.00025146683903131556,5.259416731211855e-05,0.0,0.0,0.0,6.103564054158143e-05,6.103564054158143e-05,1.3061627075898422e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103564054158143e-05,6.103564054158143e-05,1.3061627075898422e-05,6.103564054158143e-05,6.103564054158143e-05,1.3061627075898422e-05,0.0,0.0,0.0,2400
"(0.78, 1.56]","(1.0, 1.41]",2691633,0.0036489932584839973,0.0036489932584839973,0.0008241098853078082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37160.0,0.0036489932584839973,0.0036489932584839973,0.0008241098853078082,2300.0,0.0006068123932224962,0.0006068123932224962,0.0001282326937142096,0.0,0.0,0.0,0.0,0.005661618801671698,0.005661618801671698,0.0012775863202747182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005661618801671698,0.005661618801671698,0.0012775863202747182,0.0007679353017294706,0.0007679353017294706,0.00016329369568585325,0.0,0.0,0.0,0.00048297817718834625,0.00048297817718834625,0.00012082063193607759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048297817718834625,0.00048297817718834625,0.00012082063193607759,0.00014972323492838733,0.00014972323492838733,2.928902268622803e-05,0.0,0.0,0.0,37200
"(0.78, 1.56]","(1.41, 2.0]",1521358,0.02291163370339336,0.02291163370339336,0.005137376699747925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123640.0,0.02291163370339336,0.02291163370339336,0.005137376699747925,1800.0,0.0009560192183864824,0.0009560192183864824,0.00022105354155208036,0.0,0.0,0.0,0.0,0.03405575807929495,0.03405575807929495,0.007652331798301256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03405575807929495,0.03405575807929495,0.007652331798301256,0.001104276573955637,0.001104276573955637,0.0002550681693592172,0.0,0.0,0.0,0.00243729615251637,0.00243729615251637,0.000533275008249209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00243729615251637,0.00243729615251637,0.000533275008249209,0.0004417106295822548,0.0004417106295822548,9.553306979685251e-05,0.0,0.0,0.0,123700
"(0.78, 1.56]","(2.0, 2.83]",438853,0.11342394823050797,0.11342394823050797,0.026246290064177988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141820.0,0.11342394823050797,0.11342394823050797,0.026246290064177988,2500.0,0.005097288206242897,0.005097288206242897,0.001189260374495911,0.0,0.0,0.0,0.0,0.1641392448040688,0.1641392448040688,0.038177343438463456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1641392448040688,0.1641392448040688,0.038177343438463456,0.005491588299498922,0.005491588299498922,0.0012778880399587102,0.0,0.0,0.0,0.01845492682059825,0.01845492682059825,0.0041821913032382115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01845492682059825,0.01845492682059825,0.0041821913032382115,0.005122444189740072,0.005122444189740072,0.0011942064882773953,0.0,0.0,0.0,141900
"(0.78, 1.56]","(2.83, 4.0]",234053,0.303503558952751,0.303503558952751,0.07377418442437156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155950.0,0.303503558952751,0.303503558952751,0.07377418442437156,5400.0,0.020912434046688657,0.020912434046688657,0.005028112968013332,0.0,0.0,0.0,0.0,0.4039042439105673,0.4039042439105673,0.09819869431282661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039042439105673,0.4039042439105673,0.09819869431282661,0.022635898706703184,0.022635898706703184,0.005440104591695043,0.0,0.0,0.0,0.07962299137374867,0.07962299137374867,0.01887543975082567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07962299137374867,0.07962299137374867,0.01887543975082567,0.019615215357205416,0.019615215357205416,0.004667863261739863,0.0,0.0,0.0,156000
"(0.78, 1.56]","(4.0, 5.66]",234840,0.62276431909504,0.62276431909504,0.15729173199797836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221340.0,0.62276431909504,0.62276431909504,0.15729173199797836,12100.0,0.04675258302076523,0.04675258302076523,0.010845858820320891,0.0,0.0,0.0,0.0,0.7545435189916538,0.7545435189916538,0.19161761199114288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7545435189916538,0.7545435189916538,0.19161761199114288,0.050970873786407765,0.050970873786407765,0.011813417646056885,0.0,0.0,0.0,0.3064043604156021,0.3064043604156021,0.07404777933912453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3064043604156021,0.3064043604156021,0.07404777933912453,0.04886731391585761,0.04886731391585761,0.01134343638221768,0.0,0.0,0.0,221400
"(0.78, 1.56]","(5.66, 8.0]",120597,0.7830259466154009,0.7830259466154009,0.20704138249757073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113260.0,0.7830259466154009,0.7830259466154009,0.20704138249757073,17800.0,0.13602627001945292,0.13602627001945292,0.033022116314203216,0.0,0.0,0.0,0.0,0.8862741195883811,0.8862741195883811,0.2356980082423277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862741195883811,0.8862741195883811,0.2356980082423277,0.14759902816819656,0.14759902816819656,0.03580205146064993,0.0,0.0,0.0,0.6057779215071685,0.6057779215071685,0.15390034246291365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057779215071685,0.6057779215071685,0.15390034246291365,0.14646301317611546,0.14646301317611546,0.03542205112896672,0.0,0.0,0.0,113300
"(0.78, 1.56]","(8.0, 11.31]",121132,0.8561891297706771,0.8561891297706771,0.23530571498990266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,0.8561891297706771,0.8561891297706771,0.23530571498990266,44100.0,0.3360503091779909,0.3360503091779909,0.08360148273548428,0.0,0.0,0.0,0.0,0.938785787405475,0.938785787405475,0.2582542887098372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.938785787405475,0.938785787405475,0.2582542887098372,0.3640656473929268,0.3640656473929268,0.09041169963345773,0.0,0.0,0.0,0.826734471485652,0.826734471485652,0.22128154492619623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826734471485652,0.826734471485652,0.22128154492619623,0.3629676716309481,0.3629676716309481,0.09015814318264373,0.0,0.0,0.0,115000
"(0.78, 1.56]","(11.31, 16.0]",237158,0.8746105228484867,0.8746105228484867,0.247874903291428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226770.0,0.8746105228484867,0.8746105228484867,0.247874903291428,149000.0,0.5764298471036738,0.5764298471036738,0.1518542799316234,0.0,0.0,0.0,0.0,0.9539252312804122,0.9539252312804122,0.2699168195886286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9539252312804122,0.9539252312804122,0.2699168195886286,0.6274846304994982,0.6274846304994982,0.164982052893008,0.0,0.0,0.0,0.9357812091517048,0.9357812091517048,0.2636381374442355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9357812091517048,0.9357812091517048,0.2636381374442355,0.6264810801237993,0.6264810801237993,0.16474473599878559,0.0,0.0,0.0,226800
"(1.56, 3.13]","(0.5, 0.71]",1989468,8.009644291438879e-11,8.009644291438879e-11,1.2350871497398753e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,8.009644291438879e-11,8.009644291438879e-11,1.2350871497398753e-11,100.0,8.009644291438879e-11,8.009644291438879e-11,1.2350871497398753e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(1.56, 3.13]","(0.71, 1.0]",3861908,0.00018905802148409467,0.00018905802148409467,2.7026703067353493e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7300.0,0.00018905802148409467,0.00018905802148409467,2.7026703067353493e-05,2300.0,0.00014398006431831225,0.00014398006431831225,2.0551263785084677e-05,0.0,0.0,0.0,0.0,0.00034179996001976225,0.00034179996001976225,4.9368524573863466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034179996001976225,0.00034179996001976225,4.9368524573863466e-05,0.00023200966983159615,0.00023200966983159615,3.357726284520498e-05,0.0,0.0,0.0,2.5893936365133513e-05,2.5893936365133513e-05,2.760293616523235e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5893936365133513e-05,2.5893936365133513e-05,2.760293616523235e-06,2.5893936365133513e-05,2.5893936365133513e-05,2.760293616523235e-06,0.0,0.0,0.0,7300
"(1.56, 3.13]","(1.0, 1.41]",6319487,0.001695677566792943,0.001695677566792943,0.00023812473075358713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87900.0,0.001695677566792943,0.001695677566792943,0.00023812473075358713,1900.0,0.00017817419656758845,0.00017817419656758845,2.4134882725534168e-05,0.0,0.0,0.0,0.0,0.002840262192168446,0.002840262192168446,0.00040340910583406533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002840262192168446,0.002840262192168446,0.00040340910583406533,0.0002264424311656943,0.0002264424311656943,3.0921164961649556e-05,0.0,0.0,0.0,0.00011187616969541986,0.00011187616969541986,1.5262536341953062e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011187616969541986,0.00011187616969541986,1.5262536341953062e-05,7.105007099468675e-05,7.105007099468675e-05,9.783167526098231e-06,0.0,0.0,0.0,87900
"(1.56, 3.13]","(1.41, 2.0]",9128149,0.014417313002396152,0.014417313002396152,0.0020595560220049796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748790.0,0.014417313002396152,0.014417313002396152,0.0020595560220049796,7600.0,0.0006780182687768447,0.0006780182687768447,9.991070758699853e-05,0.0,0.0,0.0,0.0,0.022156189606458,0.022156189606458,0.0031586655848847337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022156189606458,0.022156189606458,0.0031586655848847337,0.0007852632554529949,0.0007852632554529949,0.00011585292921927545,0.0,0.0,0.0,0.0013348818035288426,0.0013348818035288426,0.00019481898246840598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013348818035288426,0.0013348818035288426,0.00019481898246840598,0.00038101919677253297,0.00038101919677253297,5.496314751216265e-05,0.0,0.0,0.0,748800
"(1.56, 3.13]","(2.0, 2.83]",1521358,0.0742194865746438,0.0742194865746438,0.010764835729152659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489790.0,0.0742194865746438,0.0742194865746438,0.010764835729152659,3600.0,0.0021036645543855174,0.0021036645543855174,0.00029407787565567596,0.0,0.0,0.0,0.0,0.10968227070814364,0.10968227070814364,0.015926229066399893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10968227070814364,0.10968227070814364,0.015926229066399893,0.002365649636706153,0.002365649636706153,0.0003312015975201103,0.0,0.0,0.0,0.012216716906868734,0.012216716906868734,0.0017573679567859765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012216716906868734,0.012216716906868734,0.0017573679567859765,0.0019778382208526847,0.0019778382208526847,0.0002710870156794128,0.0,0.0,0.0,489800
