periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",314888,0.00011985173254731267,0.00011985173254731267,2.2042591717279768e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.00011985173254731267,0.00011985173254731267,2.2042591717279768e-05,300.0,0.00011975646952544706,0.00011975646952544706,2.2024520322031864e-05,0.0,0.0,0.0,0.0,0.00037473641421711837,0.00037473641421711837,7.108559233759281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037473641421711837,0.00037473641421711837,7.108559233759281e-05,0.00037473641421711837,0.00037473641421711837,7.108559233759281e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400
"(0.78, 1.56]","(0.71, 1.0]",944667,0.0009215628969917958,0.0009215628969917958,0.00016633547883738008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5600.0,0.0009215628969917958,0.0009215628969917958,0.00016633547883738008,2200.0,0.0005829942283809396,0.0005829942283809396,0.00010525386752694624,0.0,0.0,0.0,0.0,0.001731827194132959,0.001731827194132959,0.0003144441374579613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001731827194132959,0.001731827194132959,0.0003144441374579613,0.0009103737084073013,0.0009103737084073013,0.0001656947898042379,0.0,0.0,0.0,9.738881531799039e-05,9.738881531799039e-05,1.6579387233808314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.738881531799039e-05,9.738881531799039e-05,1.6579387233808314e-05,9.738881531799039e-05,9.738881531799039e-05,1.6579387233808314e-05,0.0,0.0,0.0,5600
"(0.78, 1.56]","(1.0, 1.41]",1920828,0.011391365251273685,0.011391365251273685,0.0021713995747265767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84500.0,0.011391365251273685,0.011391365251273685,0.0021713995747265767,3400.0,0.001380934237596258,0.001380934237596258,0.00025816532879663643,0.0,0.0,0.0,0.0,0.017781914882540235,0.017781914882540235,0.003398170372360254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017781914882540235,0.017781914882540235,0.003398170372360254,0.0016024339503589076,0.0016024339503589076,0.00029939333454114594,0.0,0.0,0.0,0.0009745797124989849,0.0009745797124989849,0.0001851725922362647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009745797124989849,0.0009745797124989849,0.0001851725922362647,0.0004800013327585812,0.0004800013327585812,8.821680025489002e-05,0.0,0.0,0.0,84500
"(0.78, 1.56]","(1.41, 2.0]",1259557,0.0694040302690083,0.0694040302690083,0.013415666004650018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283790.0,0.0694040302690083,0.0694040302690083,0.013415666004650018,4100.0,0.002874086241768,0.002874086241768,0.0005662270061103879,0.0,0.0,0.0,0.0,0.10238361582683436,0.10238361582683436,0.01978678027274669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10238361582683436,0.10238361582683436,0.01978678027274669,0.0031519018194492185,0.0031519018194492185,0.0006189541243468933,0.0,0.0,0.0,0.010755368752664628,0.010755368752664628,0.002112492249259066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010755368752664628,0.010755368752664628,0.002112492249259066,0.0026834831611431634,0.0026834831611431634,0.0005300901825006729,0.0,0.0,0.0,283800
"(0.78, 1.56]","(2.0, 2.83]",545809,0.24680284272224293,0.24680284272224293,0.04856612326766875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338680.0,0.24680284272224293,0.24680284272224293,0.04856612326766875,4200.0,0.007006199369146097,0.007006199369146097,0.0012928872084082546,0.0,0.0,0.0,0.0,0.3370959438191748,0.3370959438191748,0.06611105753111438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3370959438191748,0.3370959438191748,0.06611105753111438,0.007623545965713281,0.007623545965713281,0.0014027773451885186,0.0,0.0,0.0,0.05112044689625858,0.05112044689625858,0.010091665399434598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05112044689625858,0.05112044689625858,0.010091665399434598,0.007081231712925218,0.007081231712925218,0.0013078272802390582,0.0,0.0,0.0,338700
"(0.78, 1.56]","(2.83, 4.0]",461837,0.5411306064694281,0.5411306064694281,0.1085516043888035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391240.0,0.5411306064694281,0.5411306064694281,0.1085516043888035,25800.0,0.05119129182668823,0.05119129182668823,0.010154735280252056,0.0,0.0,0.0,0.0,0.6628507460424349,0.6628507460424349,0.13323176835117154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6628507460424349,0.6628507460424349,0.13323176835117154,0.05560186819159141,0.05560186819159141,0.011008357277567625,0.0,0.0,0.0,0.22105851198583049,0.22105851198583049,0.04362401713158538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22105851198583049,0.22105851198583049,0.04362401713158538,0.05201185699716567,0.05201185699716567,0.010305352104746915,0.0,0.0,0.0,391400
"(0.78, 1.56]","(4.0, 5.66]",378335,0.7468387927828437,0.7468387927828437,0.15594319286544236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340450.0,0.7468387927828437,0.7468387927828437,0.15594319286544236,42400.0,0.10324412811110925,0.10324412811110925,0.021086546224171006,0.0,0.0,0.0,0.0,0.8464006766490015,0.8464006766490015,0.1773075644600684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8464006766490015,0.8464006766490015,0.1773075644600684,0.11199069607622873,0.11199069607622873,0.022843390117224156,0.0,0.0,0.0,0.5302787212391137,0.5302787212391137,0.1082854528394148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5302787212391137,0.5302787212391137,0.1082854528394148,0.10909907885868345,0.10909907885868345,0.022134911916687594,0.0,0.0,0.0,340500
"(0.78, 1.56]","(5.66, 8.0]",295316,0.8346384011436606,0.8346384011436606,0.18209528400104724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278420.0,0.8346384011436606,0.8346384011436606,0.18209528400104724,93500.0,0.2911296237338554,0.2911296237338554,0.06126143664704305,0.0,0.0,0.0,0.0,0.9204479269663682,0.9204479269663682,0.20170317388830944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9204479269663682,0.9204479269663682,0.20170317388830944,0.31640005959717726,0.31640005959717726,0.06650035826030422,0.0,0.0,0.0,0.8087675574638693,0.8087675574638693,0.1710730211028187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8087675574638693,0.8087675574638693,0.1710730211028187,0.3120216987904482,0.3120216987904482,0.0653722317788403,0.0,0.0,0.0,278600
"(0.78, 1.56]","(8.0, 11.31]",218888,0.8559532606735932,0.8559532606735932,0.194314755970968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208030.0,0.8559532606735932,0.8559532606735932,0.194314755970968,144700.0,0.6071907000521608,0.6071907000521608,0.13131327180173855,0.0,0.0,0.0,0.0,0.939032747341106,0.939032747341106,0.21401390208691193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.939032747341106,0.939032747341106,0.21401390208691193,0.661068674390556,0.661068674390556,0.1426980921749936,0.0,0.0,0.0,0.901369650232082,0.901369650232082,0.20028165454479005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.901369650232082,0.901369650232082,0.20028165454479005,0.6588118124337562,0.6588118124337562,0.14224453007930996,0.0,0.0,0.0,208600
"(0.78, 1.56]","(11.31, 16.0]",254631,0.8416011545945461,0.8416011545945461,0.20540306461476482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239770.0,0.8416011545945461,0.8416011545945461,0.20540306461476482,211900.0,0.7608964757714176,0.7608964757714176,0.17179725882237337,0.0,0.0,0.0,0.0,0.9242590258059702,0.9242590258059702,0.22803843797495202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9242590258059702,0.9242590258059702,0.22803843797495202,0.8308218559405571,0.8308218559405571,0.18727518605354418,0.0,0.0,0.0,0.8979857126587101,0.8979857126587101,0.20999991163683923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979857126587101,0.8979857126587101,0.20999991163683923,0.8275858006291457,0.8275858006291457,0.18648660414482138,0.0,0.0,0.0,243000
