periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",1224893,0.0008143639463077166,0.0008143639463077166,8.975085899038182e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4200.0,0.0008143639463077166,0.0008143639463077166,8.975085899038182e-05,4100.0,0.0007908026127027551,0.0007908026127027551,8.644049161888485e-05,0.0,0.0,0.0,0.0,0.001300521759859841,0.001300521759859841,0.00014788075366583035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001300521759859841,0.001300521759859841,0.00014788075366583035,0.0012360263304631506,0.0012360263304631506,0.00013881914583559543,0.0,0.0,0.0,0.00011511209550548497,0.00011511209550548497,1.1598400839910102e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011511209550548497,0.00011511209550548497,1.1598400839910102e-05,0.00011511209550548497,0.00011511209550548497,1.1598400839910102e-05,0.0,0.0,0.0,4200
"(0.78, 1.56]","(0.71, 1.0]",107784,0.011852187408951229,0.011852187408951229,0.0013513896285110435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.011852187408951229,0.011852187408951229,0.0013513896285110435,1400.0,0.007134564662666814,0.007134564662666814,0.000746613327891109,0.0,0.0,0.0,0.0,0.013582720997550656,0.013582720997550656,0.0015535237140948564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013582720997550656,0.013582720997550656,0.0015535237140948564,0.008127365842796705,0.008127365842796705,0.0008380093520374084,0.0,0.0,0.0,0.004573962740295406,0.004573962740295406,0.00047182327618199374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004573962740295406,0.004573962740295406,0.00047182327618199374,0.002903956060268685,0.002903956060268685,0.0002765994952868703,0.0,0.0,0.0,3600
"(0.78, 1.56]","(1.0, 1.41]",18797,0.027670689526005734,0.027670689526005734,0.0030638608138022607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.027670689526005734,0.027670689526005734,0.0030638608138022607,100.0,0.004976028801443124,0.004976028801443124,0.0005055645262266214,0.0,0.0,0.0,0.0,0.043836782465287015,0.043836782465287015,0.005032723306910676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043836782465287015,0.043836782465287015,0.005032723306910676,0.005319997872000849,0.005319997872000849,0.0005405117837952864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400
"(0.78, 1.56]","(1.41, 2.0]",9421,0.15176900683690314,0.15176900683690314,0.020150686953083117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,0.15176900683690314,0.15176900683690314,0.020150686953083117,100.0,0.00944405051431224,0.00944405051431224,0.0014581613994098094,0.0,0.0,0.0,0.0,0.22980575310476595,0.22980575310476595,0.029511421292856423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22980575310476595,0.22980575310476595,0.029511421292856423,0.010614584439019213,0.010614584439019213,0.0016388918373845694,0.0,0.0,0.0,0.04882708841948837,0.04882708841948837,0.006967137246576806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04882708841948837,0.04882708841948837,0.006967137246576806,0.010402292750238832,0.010402292750238832,0.0016061140006368784,0.0,0.0,0.0,5300
"(0.78, 1.56]","(2.0, 2.83]",82544,0.43594678082928523,0.43594678082928523,0.05668855093295561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74800.0,0.43594678082928523,0.43594678082928523,0.05668855093295561,3900.0,0.04247961359535146,0.04247961359535146,0.005138732320999603,0.0,0.0,0.0,0.0,0.5615671641791045,0.5615671641791045,0.07284816219228528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5615671641791045,0.5615671641791045,0.07284816219228528,0.04678716805582476,0.04678716805582476,0.005643867513083931,0.0,0.0,0.0,0.12287991858887379,0.12287991858887379,0.016088577001356855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12287991858887379,0.12287991858887379,0.016088577001356855,0.038888350455514635,0.038888350455514635,0.004784585190928473,0.0,0.0,0.0,74800
"(0.78, 1.56]","(2.83, 4.0]",81119,0.7008848239221375,0.7008848239221375,0.09597623521523796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80500.0,0.7008848239221375,0.7008848239221375,0.09597623521523796,15000.0,0.1568451104111682,0.1568451104111682,0.019222275905832035,0.0,0.0,0.0,0.0,0.8341572258040656,0.8341572258040656,0.11349922952699099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8341572258040656,0.8341572258040656,0.11349922952699099,0.17582810438984703,0.17582810438984703,0.021411351224743854,0.0,0.0,0.0,0.3569200803757443,0.3569200803757443,0.04865812941481026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569200803757443,0.3569200803757443,0.04865812941481026,0.13528273277530534,0.13528273277530534,0.017039846398500955,0.0,0.0,0.0,80500
"(0.78, 1.56]","(4.0, 5.66]",32527,0.7805435596414712,0.7805435596414712,0.10755920143352994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30800.0,0.7805435596414712,0.7805435596414712,0.10755920143352994,9200.0,0.25509157815055006,0.25509157815055006,0.03166803984452926,0.0,0.0,0.0,0.0,0.8738278968241767,0.8738278968241767,0.12042802902204311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8738278968241767,0.8738278968241767,0.12042802902204311,0.27669320871891034,0.27669320871891034,0.034292741414824565,0.0,0.0,0.0,0.6264334245396133,0.6264334245396133,0.08575066252651639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6264334245396133,0.6264334245396133,0.08575066252651639,0.2601531035754912,0.2601531035754912,0.03227053524764041,0.0,0.0,0.0,30800
"(0.78, 1.56]","(5.66, 8.0]",29570,0.815536477415031,0.815536477415031,0.11937534711006495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27100.0,0.815536477415031,0.815536477415031,0.11937534711006495,20700.0,0.6398994006466001,0.6398994006466001,0.0922957308338834,0.0,0.0,0.0,0.0,0.8954683801149814,0.8954683801149814,0.13083128508623632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8954683801149814,0.8954683801149814,0.13083128508623632,0.6979709164693947,0.6979709164693947,0.10050968211024704,0.0,0.0,0.0,0.8054108894149475,0.8054108894149475,0.11824228271897218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8054108894149475,0.8054108894149475,0.11824228271897218,0.6725059181602976,0.6725059181602976,0.09709473791004417,0.0,0.0,0.0,27100
"(0.78, 1.56]","(8.0, 11.31]",35514,0.8942702172343145,0.8942702172343145,0.14152051249909098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35300.0,0.8942702172343145,0.8942702172343145,0.14152051249909098,33700.0,0.8642772661674196,0.8642772661674196,0.13616822629172962,0.0,0.0,0.0,0.0,0.9764599876105198,0.9764599876105198,0.15419415441797588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764599876105198,0.9764599876105198,0.15419415441797588,0.940699442473391,0.940699442473391,0.14788332488596037,0.0,0.0,0.0,0.9520752379343359,0.9520752379343359,0.1502807287266992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9520752379343359,0.9520752379343359,0.1502807287266992,0.9298586472940249,0.9298586472940249,0.14626271611195577,0.0,0.0,0.0,35300
"(0.78, 1.56]","(11.31, 16.0]",24542,0.9094069071558214,0.9094069071558214,0.1496272173781074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24400.0,0.9094069071558214,0.9094069071558214,0.1496272173781074,24000.0,0.8963842704962314,0.8963842704962314,0.14669193907941455,0.0,0.0,0.0,0.0,0.9940510145872381,0.9940510145872381,0.16350013853801648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9940510145872381,0.9940510145872381,0.16350013853801648,0.9779154103170076,0.9779154103170076,0.15981908564909136,0.0,0.0,0.0,0.9714774671990872,0.9714774671990872,0.15892950859750632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9714774671990872,0.9714774671990872,0.15892950859750632,0.9674028196560998,0.9674028196560998,0.1579870426208133,0.0,0.0,0.0,24400
