periodbin,radiusbin,COUNT,GAMMA_mean,GAMMA_OBS_mean,GAMMA_OBS_TRANS_mean,MONO_COUNT,MONO_GAMMA_mean,MONO_GAMMA_OBS_mean,MONO_GAMMA_OBS_TRANS_mean,DUO_COUNT,DUO_GAMMA_mean,DUO_GAMMA_OBS_mean,DUO_GAMMA_OBS_TRANS_mean,TRIO_COUNT,TRIO_GAMMA_mean,TRIO_GAMMA_OBS_mean,TRIO_GAMMA_OBS_TRANS_mean,MULTI_COUNT,MULTI_GAMMA_mean,MULTI_GAMMA_OBS_mean,MULTI_GAMMA_OBS_TRANS_mean,TSM_CUTOFF_COUNT,TSM_CUTOFF_GAMMA_mean,TSM_CUTOFF_GAMMA_OBS_mean,TSM_CUTOFF_GAMMA_OBS_TRANS_mean,TRUE_DUO_COUNT,TRUE_DUO_GAMMA_mean,TRUE_DUO_GAMMA_OBS_mean,TRUE_DUO_GAMMA_OBS_TRANS_mean,THR_7-3_mean,THR_7-3_OBS_mean,THR_7-3_OBS_TRANS_mean,MONO_THR_7-3_mean,MONO_THR_7-3_OBS_mean,MONO_THR_7-3_OBS_TRANS_mean,DUO_THR_7-3_mean,DUO_THR_7-3_OBS_mean,DUO_THR_7-3_OBS_TRANS_mean,TRIO_THR_7-3_mean,TRIO_THR_7-3_OBS_mean,TRIO_THR_7-3_OBS_TRANS_mean,MULTI_THR_7-3_mean,MULTI_THR_7-3_OBS_mean,MULTI_THR_7-3_OBS_TRANS_mean,TSM_CUTOFF_THR_7-3_mean,TSM_CUTOFF_THR_7-3_OBS_mean,TSM_CUTOFF_THR_7-3_OBS_TRANS_mean,TRUE_DUO_THR_7-3_mean,TRUE_DUO_THR_7-3_OBS_mean,TRUE_DUO_THR_7-3_OBS_TRANS_mean,THR_20_mean,THR_20_OBS_mean,THR_20_OBS_TRANS_mean,MONO_THR_20_mean,MONO_THR_20_OBS_mean,MONO_THR_20_OBS_TRANS_mean,DUO_THR_20_mean,DUO_THR_20_OBS_mean,DUO_THR_20_OBS_TRANS_mean,TRIO_THR_20_mean,TRIO_THR_20_OBS_mean,TRIO_THR_20_OBS_TRANS_mean,MULTI_THR_20_mean,MULTI_THR_20_OBS_mean,MULTI_THR_20_OBS_TRANS_mean,TSM_CUTOFF_THR_20_mean,TSM_CUTOFF_THR_20_OBS_mean,TSM_CUTOFF_THR_20_OBS_TRANS_mean,TRUE_DUO_THR_20_mean,TRUE_DUO_THR_20_OBS_mean,TRUE_DUO_THR_20_OBS_TRANS_mean,SIM_COUNT
"(0.78, 1.56]","(0.5, 0.71]",9202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
"(0.78, 1.56]","(0.71, 1.0]",18400,5.2991126774232775e-05,5.2991126774232775e-05,3.8683522545189905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,5.2991126774232775e-05,5.2991126774232775e-05,3.8683522545189905e-06,100.0,5.2991126774232775e-05,5.2991126774232775e-05,3.8683522545189905e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
"(0.78, 1.56]","(1.0, 1.41]",36801,0.014474835053757046,0.014474835053757046,0.0014979919663000959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,890.0,0.014474835053757046,0.014474835053757046,0.0014979919663000959,800.0,0.01343792873914874,0.01343792873914874,0.0011292680808253823,0.0,0.0,0.0,0.0,0.020841824950408958,0.020841824950408958,0.0023934077878318537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020841824950408958,0.020841824950408958,0.0023934077878318537,0.01839623923262955,0.01839623923262955,0.001523757506589496,0.0,0.0,0.0,0.0019021222249395397,0.0019021222249395397,0.00017271269802451018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019021222249395397,0.0019021222249395397,0.00017271269802451018,0.0019021222249395397,0.0019021222249395397,0.00017271269802451018,0.0,0.0,0.0,900
"(0.78, 1.56]","(1.41, 2.0]",27600,0.02518813025620374,0.02518813025620374,0.0035016078012799715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,0.02518813025620374,0.02518813025620374,0.0035016078012799715,1800.0,0.021589895284660033,0.021589895284660033,0.0022409361354827776,0.0,0.0,0.0,0.0,0.03771739130434783,0.03771739130434783,0.005222282608695653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03771739130434783,0.03771739130434783,0.005222282608695653,0.03260869565217391,0.03260869565217391,0.0034602536231884075,0.0,0.0,0.0,0.011920289855072463,0.011920289855072463,0.0012175615942028998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011920289855072463,0.011920289855072463,0.0012175615942028998,0.011920289855072463,0.011920289855072463,0.0012175615942028998,0.0,0.0,0.0,2100
"(0.78, 1.56]","(2.0, 2.83]",18400,0.06151978301463356,0.06151978301463356,0.01427206586536259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3160.0,0.06151978301463356,0.06151978301463356,0.01427206586536259,1500.0,0.044336666660920114,0.044336666660920114,0.008419822112114055,0.0,0.0,0.0,0.0,0.08021739130434782,0.08021739130434782,0.019554902173913053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08021739130434782,0.08021739130434782,0.019554902173913053,0.051956521739130436,0.051956521739130436,0.01020860326086957,0.0,0.0,0.0,0.020054347826086956,0.020054347826086956,0.00262638586956522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020054347826086956,0.020054347826086956,0.00262638586956522,0.020054347826086956,0.020054347826086956,0.00262638586956522,0.0,0.0,0.0,3200
"(0.78, 1.56]","(2.83, 4.0]",9202,0.21623121765408201,0.21623121765408201,0.0761605922360521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.21623121765408201,0.21623121765408201,0.0761605922360521,1000.0,0.0802292666433669,0.0802292666433669,0.023579907285581122,0.0,0.0,0.0,0.0,0.2657031080199956,0.2657031080199956,0.09429747880895452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2657031080199956,0.2657031080199956,0.09429747880895452,0.0869376222560313,0.0869376222560313,0.02561291023690502,0.0,0.0,0.0,0.05270593349271897,0.05270593349271897,0.016782710280373838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05270593349271897,0.05270593349271897,0.016782710280373838,0.051510541186698545,0.051510541186698545,0.01623462290806347,0.0,0.0,0.0,4100
"(0.78, 1.56]","(4.0, 5.66]",6172,0.30461038284822967,0.30461038284822967,0.10340574115763405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3880.0,0.30461038284822967,0.30461038284822967,0.10340574115763405,1300.0,0.12812531624370824,0.12812531624370824,0.044631468801335415,0.0,0.0,0.0,0.0,0.3909591704471808,0.3909591704471808,0.13349110499027864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3909591704471808,0.3909591704471808,0.13349110499027864,0.1537589112119248,0.1537589112119248,0.054954277381723884,0.0,0.0,0.0,0.11552171095268957,0.11552171095268957,0.035323379779650034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11552171095268957,0.11552171095268957,0.035323379779650034,0.08927414128321452,0.08927414128321452,0.026577624756966938,0.0,0.0,0.0,3900
"(0.78, 1.56]","(5.66, 8.0]",7791,0.6265056947293055,0.6265056947293055,0.21103679481779314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6460.0,0.6265056947293055,0.6265056947293055,0.21103679481779314,2700.0,0.3151607637138588,0.3151607637138588,0.08587714986067885,0.0,0.0,0.0,0.0,0.718906430496727,0.718906430496727,0.24388932101142344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718906430496727,0.718906430496727,0.24388932101142344,0.3452701835451162,0.3452701835451162,0.09440187395713,0.0,0.0,0.0,0.4665639840841997,0.4665639840841997,0.1436851366961879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4665639840841997,0.4665639840841997,0.1436851366961879,0.3157489410858683,0.3157489410858683,0.08254216403542543,0.0,0.0,0.0,6500
"(0.78, 1.56]","(8.0, 11.31]",10166,0.7590979856152035,0.7590979856152035,0.2807370468158279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9550.0,0.7590979856152035,0.7590979856152035,0.2807370468158279,4800.0,0.43530116700773136,0.43530116700773136,0.14422154112965724,0.0,0.0,0.0,0.0,0.8567774936061381,0.8567774936061381,0.3183713358253002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8567774936061381,0.8567774936061381,0.3183713358253002,0.4721621089907535,0.4721621089907535,0.15571709620302976,0.0,0.0,0.0,0.6064332087349991,0.6064332087349991,0.21854306511902424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6064332087349991,0.6064332087349991,0.21854306511902424,0.4355695455439701,0.4355695455439701,0.1466179421601417,0.0,0.0,0.0,9600
"(0.78, 1.56]","(11.31, 16.0]",21181,0.7748212569321704,0.7748212569321704,0.30226860374480957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18780.0,0.7748212569321704,0.7748212569321704,0.30226860374480957,15100.0,0.636049370500874,0.636049370500874,0.23575480354383918,0.0,0.0,0.0,0.0,0.8449553845427505,0.8449553845427505,0.3285998064302913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449553845427505,0.8449553845427505,0.3285998064302913,0.69439592087248,0.69439592087248,0.25661383315235353,0.0,0.0,0.0,0.7470374392143903,0.7470374392143903,0.2859752514045607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7470374392143903,0.7470374392143903,0.2859752514045607,0.6530853123082004,0.6530853123082004,0.2407780369198811,0.0,0.0,0.0,18800
